確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
3200,2003,1,彰化縣,線西鄉,M,0,2,1,10007,10007040
3200,2003,1,台北市,萬華區,M,0,70+,1,63000,63000070
3200,2003,2,高雄市,桃源區,F,0,0,1,64000,64000370
3200,2003,2,高雄市,苓雅區,F,0,4,1,64000,64000080
3200,2003,3,雲林縣,口湖鄉,F,0,25~29,1,10009,10009190
3200,2003,3,新北市,三重區,M,0,10~14,1,65000,65000020
3200,2003,5,苗栗縣,公館鄉,M,0,50~54,1,10005,10005090
3200,2003,8,台中市,烏日區,F,0,5~9,1,66000,66000230
3200,2003,11,台南市,東區,M,0,65~69,1,67000,67000320
3200,2003,11,桃園市,中壢區,M,0,3,1,68000,68000020
3200,2003,12,宜蘭縣,五結鄉,M,0,70+,1,10002,10002090
3200,2003,12,宜蘭縣,壯圍鄉,M,0,1,1,10002,10002060
3200,2003,12,桃園市,中壢區,M,0,5~9,1,68000,68000020
3200,2003,14,台南市,永康區,M,0,3,1,67000,67000310
3200,2003,16,新北市,五股區,M,0,0,1,65000,65000150
3200,2003,16,新北市,八里區,M,0,5~9,1,65000,65000230
3200,2003,24,花蓮縣,花蓮市,M,0,1,1,10015,10015010
3200,2003,33,花蓮縣,花蓮市,M,0,0,1,10015,10015010
3200,2003,34,桃園市,新屋區,M,0,1,1,68000,68000110
3200,2003,35,新北市,八里區,F,0,0,1,65000,65000230
3200,2003,49,花蓮縣,秀林鄉,M,0,70+,1,10015,10015110
3200,2003,49,台南市,新營區,M,0,4,1,67000,67000010
3200,2004,2,高雄市,前鎮區,M,0,0,1,64000,64000090
3200,2004,3,新北市,五股區,F,0,2,1,65000,65000150
3200,2004,6,新北市,板橋區,M,0,25~29,1,65000,65000010
3200,2004,7,台南市,永康區,M,0,5~9,1,67000,67000310
3200,2004,8,高雄市,路竹區,M,0,2,1,64000,64000240
3200,2004,8,台南市,大內區,M,0,5~9,1,67000,67000110
3200,2004,10,新北市,樹林區,M,0,4,1,65000,65000070
3200,2004,12,新北市,新莊區,M,0,4,1,65000,65000050
3200,2004,16,台東縣,延平鄉,F,0,0,1,10014,10014130
3200,2004,25,桃園市,桃園區,M,0,5~9,1,68000,68000010
3200,2004,27,新竹市,東區,F,0,4,1,10018,10018010
3200,2004,32,新北市,板橋區,F,0,40~44,1,65000,65000010
3200,2004,33,新北市,新莊區,M,0,4,1,65000,65000050
3200,2004,49,台中市,太平區,M,0,1,1,66000,66000270
3200,2004,49,桃園市,平鎮區,M,0,0,1,68000,68000100
3200,2004,50,台中市,霧峰區,M,0,5~9,1,66000,66000260
3200,2004,50,台南市,善化區,M,0,5~9,1,67000,67000190
3200,2004,51,台北市,中山區,F,0,70+,1,63000,63000040
3200,2004,52,屏東縣,長治鄉,F,0,4,1,10013,10013060
3200,2004,53,高雄市,梓官區,M,0,60~64,1,64000,64000290
3200,2005,2,基隆市,仁愛區,M,0,60~64,1,10017,10017040
3200,2005,4,新北市,永和區,M,0,5~9,1,65000,65000040
3200,2005,4,桃園市,蘆竹區,M,0,0,1,68000,68000050
3200,2005,5,苗栗縣,通霄鎮,M,0,55~59,1,10005,10005030
3200,2005,9,台東縣,台東市,F,0,0,1,10014,10014010
3200,2005,11,彰化縣,彰化市,F,0,45~49,1,10007,10007010
3200,2005,35,花蓮縣,花蓮市,F,0,4,1,10015,10015010
3200,2005,36,新竹縣,竹北市,F,0,1,1,10004,10004010
3200,2005,38,宜蘭縣,南澳鄉,M,0,4,1,10002,10002120
3200,2005,47,新北市,新莊區,M,0,0,1,65000,65000050
3200,2005,49,台東縣,海端鄉,M,0,1,1,10014,10014120
3200,2005,49,台南市,後壁區,M,0,0,1,67000,67000050
3200,2006,6,台南市,楠西區,M,0,1,1,67000,67000240
3200,2006,8,花蓮縣,秀林鄉,M,0,0,1,10015,10015110
3200,2006,10,新北市,新莊區,M,0,15~19,1,65000,65000050
3200,2006,11,新北市,蘆洲區,M,0,5~9,1,65000,65000140
3200,2006,18,台北市,萬華區,M,0,0,1,63000,63000070
3200,2006,21,新北市,板橋區,F,0,5~9,1,65000,65000010
3200,2006,23,新北市,五股區,M,0,2,1,65000,65000150
3200,2006,25,新竹縣,竹東鎮,F,0,0,1,10004,10004020
3200,2006,25,台東縣,卑南鄉,M,0,0,1,10014,10014040
3200,2006,32,苗栗縣,頭份市,F,0,2,1,10005,10005050
3200,2006,32,台南市,北區,M,0,4,1,67000,67000340
3200,2006,34,新北市,瑞芳區,M,0,5~9,1,65000,65000120
3200,2006,35,台東縣,達仁鄉,F,0,1,1,10014,10014150
3200,2006,41,台北市,中山區,M,0,4,1,63000,63000040
3200,2006,49,嘉義縣,民雄鄉,M,0,2,1,10010,10010050
3200,2006,51,彰化縣,彰化市,F,0,3,1,10007,10007010
3200,2007,1,台東縣,卑南鄉,M,0,40~44,1,10014,10014040
3200,2007,4,苗栗縣,公館鄉,F,0,30~34,1,10005,10005090
3200,2007,7,高雄市,楠梓區,M,0,1,1,64000,64000040
3200,2007,7,新北市,瑞芳區,F,0,35~39,1,65000,65000120
3200,2007,8,雲林縣,斗六市,M,0,3,1,10009,10009010
3200,2007,12,高雄市,內門區,F,0,70+,1,64000,64000350
3200,2007,12,新北市,中和區,F,0,5~9,1,65000,65000030
3200,2007,14,南投縣,竹山鎮,M,0,1,1,10008,10008040
3200,2007,18,基隆市,安樂區,M,0,5~9,1,10017,10017060
3200,2007,28,台南市,南區,M,0,1,1,67000,67000330
3200,2007,37,屏東縣,內埔鄉,F,0,2,1,10013,10013130
3200,2007,38,基隆市,中山區,F,0,1,1,10017,10017050
3200,2007,39,基隆市,信義區,M,0,4,1,10017,10017070
3200,2007,46,桃園市,八德區,M,0,35~39,1,68000,68000080
3200,2007,52,新北市,土城區,M,0,5~9,1,65000,65000130
3200,2007,52,新北市,新店區,M,0,0,1,65000,65000060
3200,2008,4,台南市,安南區,M,0,5~9,1,67000,67000350
3200,2008,11,台東縣,台東市,M,0,4,1,10014,10014010
3200,2008,16,基隆市,七堵區,F,0,0,1,10017,10017020
