確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
屈公病,2007,52,台東縣,關山鎮,M,是,55-59,1
屈公病,2007,53,新北市,中和區,F,是,20-24,1
屈公病,2008,7,新北市,新莊區,M,是,25-29,1
屈公病,2008,16,桃園市,中壢區,M,是,55-59,1
屈公病,2008,27,桃園市,楊梅區,M,是,30-34,1
屈公病,2008,42,台北市,中山區,M,是,50-54,1
屈公病,2008,43,台北市,松山區,M,是,30-34,1
屈公病,2008,48,苗栗縣,竹南鎮,M,是,25-29,1
屈公病,2008,50,台北市,中山區,M,是,40-44,1
屈公病,2008,50,台北市,北投區,M,是,55-59,1
屈公病,2008,50,桃園市,中壢區,M,是,50-54,1
屈公病,2009,5,高雄市,楠梓區,F,是,40-44,1
屈公病,2009,17,台南市,永康區,F,是,20-24,1
屈公病,2009,17,苗栗縣,後龍鎮,M,是,10-14,1
屈公病,2009,22,台南市,東區,M,是,25-29,1
屈公病,2009,33,桃園市,中壢區,F,是,20-24,1
屈公病,2009,37,新北市,林口區,F,是,20-24,1
屈公病,2009,47,高雄市(舊),苓雅區,M,是,65-69,1
屈公病,2009,51,台北市,中正區,M,是,25-29,1
屈公病,2009,53,台北市,中正區,M,是,65-69,1
屈公病,2010,5,澎湖縣,望安鄉,M,是,25-29,1
屈公病,2010,6,高雄市,三民區,F,是,25-29,1
屈公病,2010,8,桃園市,中壢區,M,是,5-9,1
屈公病,2010,9,台北市,北投區,F,是,25-29,1
屈公病,2010,9,新竹縣,新埔鎮,F,是,30-34,1
屈公病,2010,9,苗栗縣,三灣鄉,M,是,50-54,1
屈公病,2010,18,桃園市,大園區,M,是,55-59,1
屈公病,2010,21,宜蘭縣,蘇澳鎮,M,是,25-29,1
屈公病,2010,24,彰化縣,秀水鄉,F,是,30-34,1
屈公病,2010,25,台北市,大安區,F,是,35-39,1
屈公病,2010,32,桃園市,龜山區,F,是,45-49,1
屈公病,2010,35,桃園市,大園區,M,是,25-29,1
屈公病,2010,42,台中市,太平區,M,是,20-24,1
屈公病,2010,45,台南市,安定區,F,是,30-34,1
屈公病,2011,35,高雄市,旗山區,M,是,55-59,1
屈公病,2012,28,高雄市,鹽埕區,M,是,25-29,1
屈公病,2012,35,高雄市,小港區,F,是,10-14,1
屈公病,2012,38,桃園市,蘆竹區,F,是,25-29,1
屈公病,2012,41,桃園市,蘆竹區,F,是,60-64,1
屈公病,2012,44,台中市,太平區,F,是,30-34,1
屈公病,2013,1,高雄市,大寮區,F,是,25-29,1
屈公病,2013,6,桃園市,蘆竹區,M,是,15-19,1
屈公病,2013,10,宜蘭縣,蘇澳鎮,M,是,20-24,1
屈公病,2013,11,台北市,信義區,F,是,25-29,1
屈公病,2013,12,南投縣,草屯鎮,F,是,55-59,1
屈公病,2013,15,桃園市,平鎮區,F,是,35-39,1
屈公病,2013,15,桃園市,平鎮區,M,是,4,1
屈公病,2013,22,新竹縣,竹北市,F,是,30-34,1
屈公病,2013,26,新竹縣,湖口鄉,M,是,30-34,1
屈公病,2013,27,屏東縣,東港鎮,M,是,30-34,1
屈公病,2013,30,高雄市,三民區,F,是,10-14,1
屈公病,2013,30,桃園市,大園區,F,是,30-34,1
屈公病,2013,31,台北市,萬華區,F,是,35-39,1
屈公病,2013,32,桃園市,桃園區,F,是,60-64,1
屈公病,2013,34,台北市,大同區,F,是,70+,1
屈公病,2013,34,新北市,板橋區,F,是,70+,1
屈公病,2013,34,新北市,蘆洲區,F,是,65-69,1
屈公病,2013,34,桃園市,桃園區,F,是,35-39,1
屈公病,2013,34,桃園市,觀音區,M,是,50-54,1
屈公病,2013,34,苗栗縣,頭份市,M,是,50-54,1
屈公病,2013,34,屏東縣,內埔鄉,F,是,35-39,1
屈公病,2013,37,台北市,中山區,M,是,70+,1
屈公病,2013,39,新北市,汐止區,F,是,30-34,1
屈公病,2013,39,桃園市,龍潭區,M,是,30-34,1
屈公病,2013,40,新竹縣,新豐鄉,M,是,15-19,1
屈公病,2013,49,台北市,大同區,F,是,30-34,1
屈公病,2013,49,新北市,汐止區,M,是,30-34,1
屈公病,2013,50,新竹縣,竹北市,F,是,35-39,1
屈公病,2013,52,台北市,文山區,F,是,60-64,1
屈公病,2014,4,台北市,文山區,M,是,55-59,1
屈公病,2014,11,台北市,文山區,F,是,35-39,1
屈公病,2014,11,新北市,三重區,F,是,25-29,1
屈公病,2014,14,台中市,南屯區,F,是,30-34,1
屈公病,2014,24,台中市,北區,F,是,40-44,1
屈公病,2014,33,新北市,樹林區,M,是,50-54,1
屈公病,2014,46,新北市,永和區,F,是,25-29,1
屈公病,2015,3,台中市,潭子區,M,是,25-29,1
屈公病,2015,11,桃園市,桃園區,F,是,30-34,1
屈公病,2015,11,宜蘭縣,五結鄉,M,是,20-24,1
屈公病,2015,27,台中市,豐原區,F,是,30-34,1
屈公病,2016,1,台中市,南區,F,是,25-29,1
屈公病,2016,3,基隆市,中正區,M,是,35-39,1
屈公病,2016,13,台北市,松山區,M,是,45-49,1
屈公病,2016,16,高雄市,鼓山區,M,是,35-39,1
屈公病,2016,20,高雄市,前金區,F,是,30-34,1
屈公病,2016,21,高雄市,前金區,M,是,25-29,1
