確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
045a,2003,1,高雄市,大社區,M,0,30~34,1,64000,64000160
045a,2003,3,苗栗縣,頭份市,M,0,1,1,10005,10005050
045a,2003,3,新北市,永和區,F,0,2,1,65000,65000040
045a,2003,4,屏東縣,麟洛鄉,F,0,10~14,1,10013,10013070
045a,2003,4,新北市,板橋區,F,0,1,1,65000,65000010
045a,2003,5,新北市,蘆洲區,M,0,0,1,65000,65000140
045a,2003,10,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2003,11,台南市,東區,M,0,50~54,1,67000,67000320
045a,2003,12,台北市,萬華區,F,0,5~9,1,63000,63000070
045a,2003,13,台北市,大同區,M,0,3,1,63000,63000060
045a,2003,13,台中市,潭子區,F,0,2,1,66000,66000170
045a,2003,13,台南市,東區,M,0,45~49,1,67000,67000320
045a,2003,14,高雄市,美濃區,F,0,15~19,1,64000,64000310
045a,2003,14,新北市,三重區,F,0,0,1,65000,65000020
045a,2003,15,屏東縣,萬丹鄉,M,0,5~9,1,10013,10013050
045a,2003,16,苗栗縣,三灣鄉,M,0,0,1,10005,10005160
045a,2003,16,屏東縣,萬丹鄉,M,0,1,1,10013,10013050
045a,2003,16,高雄市,前鎮區,M,0,5~9,1,64000,64000090
045a,2003,17,屏東縣,屏東市,F,0,3,1,10013,10013010
045a,2003,17,新北市,樹林區,M,0,5~9,1,65000,65000070
045a,2003,18,嘉義縣,民雄鄉,M,0,10~14,1,10010,10010050
045a,2003,18,台北市,文山區,F,0,1,1,63000,63000080
045a,2003,18,台北市,文山區,F,0,5~9,1,63000,63000080
045a,2003,19,台中市,大雅區,M,0,1,1,66000,66000180
045a,2003,21,新竹縣,竹東鎮,M,0,0,1,10004,10004020
045a,2003,28,台北市,內湖區,F,0,5~9,1,63000,63000100
045a,2003,30,高雄市,路竹區,M,0,20~24,1,64000,64000240
045a,2003,30,新北市,板橋區,F,0,1,1,65000,65000010
045a,2003,30,台中市,沙鹿區,M,0,0,1,66000,66000130
045a,2003,31,屏東縣,內埔鄉,M,0,2,1,10013,10013130
045a,2003,31,高雄市,左營區,F,0,25~29,1,64000,64000030
045a,2003,33,雲林縣,北港鎮,M,0,10~14,1,10009,10009060
045a,2003,33,台北市,大安區,F,0,10~14,1,63000,63000030
045a,2003,33,高雄市,左營區,F,0,45~49,1,64000,64000030
045a,2003,35,新北市,蘆洲區,M,0,5~9,1,65000,65000140
045a,2003,36,屏東縣,屏東市,F,0,1,1,10013,10013010
045a,2003,37,屏東縣,屏東市,M,0,3,1,10013,10013010
045a,2003,37,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2003,38,台北市,大安區,F,0,3,1,63000,63000030
045a,2003,38,台南市,南區,M,0,0,1,67000,67000330
045a,2003,40,新北市,鶯歌區,M,0,2,1,65000,65000080
045a,2003,40,台中市,西屯區,M,0,0,1,66000,66000060
045a,2003,40,台南市,東區,F,0,10~14,1,67000,67000320
045a,2003,41,金門縣,金城鎮,M,0,65~69,1,09020,09020010
045a,2003,41,台南市,安南區,F,0,65~69,1,67000,67000350
045a,2003,42,基隆市,七堵區,M,0,0,1,10017,10017020
045a,2003,42,桃園市,蘆竹區,F,0,2,1,68000,68000050
045a,2003,43,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
045a,2003,43,高雄市,前鎮區,M,0,20~24,1,64000,64000090
045a,2003,44,新竹市,其他,M,0,5~9,1,10018,10018999
045a,2003,45,南投縣,埔里鎮,M,0,1,1,10008,10008020
045a,2003,45,新竹市,東區,M,0,1,1,10018,10018010
045a,2003,45,高雄市,左營區,F,0,20~24,1,64000,64000030
045a,2003,46,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2003,47,台北市,內湖區,M,0,45~49,1,63000,63000100
045a,2003,47,台中市,潭子區,F,0,10~14,1,66000,66000170
045a,2003,48,宜蘭縣,宜蘭市,F,0,5~9,1,10002,10002010
045a,2003,48,苗栗縣,公館鄉,F,0,5~9,1,10005,10005090
045a,2003,49,高雄市,左營區,M,0,40~44,1,64000,64000030
045a,2003,49,高雄市,林園區,M,0,10~14,1,64000,64000130
045a,2003,49,高雄市,橋頭區,M,0,40~44,1,64000,64000200
045a,2003,52,高雄市,鳳山區,M,0,70+,1,64000,64000120
045a,2003,53,屏東縣,新園鄉,M,0,60~64,1,10013,10013170
045a,2003,53,高雄市,前鎮區,M,0,2,1,64000,64000090
045a,2003,53,高雄市,苓雅區,M,0,10~14,1,64000,64000080
045a,2004,1,桃園市,大園區,M,0,3,1,68000,68000060
045a,2004,2,屏東縣,屏東市,F,0,5~9,1,10013,10013010
045a,2004,2,台中市,北屯區,M,0,5~9,1,66000,66000080
045a,2004,4,新北市,三重區,M,0,35~39,1,65000,65000020
045a,2004,4,台南市,永康區,M,0,30~34,1,67000,67000310
045a,2004,6,高雄市,鳥松區,F,0,65~69,1,64000,64000180
045a,2004,7,嘉義縣,新港鄉,F,0,5~9,1,10010,10010070
045a,2004,8,南投縣,中寮鄉,M,0,3,1,10008,10008080
045a,2004,8,高雄市,三民區,M,0,55~59,1,64000,64000050
045a,2004,9,台中市,清水區,M,0,5~9,1,66000,66000120
045a,2004,10,雲林縣,土庫鎮,F,0,4,1,10009,10009050
045a,2004,10,高雄市,旗山區,F,0,40~44,1,64000,64000300
045a,2004,12,台中市,梧棲區,M,0,5~9,1,66000,66000140
045a,2004,12,台南市,永康區,M,0,10~14,1,67000,67000310
045a,2004,13,高雄市,美濃區,M,0,60~64,1,64000,64000310
045a,2004,14,高雄市,苓雅區,F,0,5~9,1,64000,64000080
045a,2004,16,南投縣,南投市,F,0,5~9,1,10008,10008010
045a,2004,16,雲林縣,斗六市,M,0,5~9,1,10009,10009010
045a,2004,16,台南市,永康區,M,0,4,1,67000,67000310
045a,2004,18,苗栗縣,苗栗市,M,0,1,1,10005,10005010
