確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
急性病毒性Ｄ型肝炎,2003,4,新竹市,北區,M,否,45-49,1
急性病毒性Ｄ型肝炎,2003,4,屏東縣,東港鎮,M,否,20-24,1
急性病毒性Ｄ型肝炎,2003,7,桃園市,中壢區,M,否,45-49,1
急性病毒性Ｄ型肝炎,2003,16,高雄市,鳳山區,F,否,35-39,1
急性病毒性Ｄ型肝炎,2003,18,高雄市,小港區,M,否,35-39,1
急性病毒性Ｄ型肝炎,2003,18,高雄市,小港區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2003,26,新竹市,東區,M,否,30-34,1
急性病毒性Ｄ型肝炎,2003,33,基隆市,七堵區,M,否,20-24,1
急性病毒性Ｄ型肝炎,2003,39,苗栗縣,頭份市,M,否,45-49,1
急性病毒性Ｄ型肝炎,2003,41,桃園市,桃園區,M,否,30-34,1
急性病毒性Ｄ型肝炎,2003,51,新北市,蘆洲區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2004,1,屏東縣,屏東市,M,否,50-54,1
急性病毒性Ｄ型肝炎,2004,3,台北市,松山區,F,否,35-39,1
急性病毒性Ｄ型肝炎,2004,5,桃園市,八德區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2004,6,新竹市,北區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2004,8,高雄市,大寮區,M,否,35-39,1
急性病毒性Ｄ型肝炎,2004,8,苗栗縣,頭份市,M,否,35-39,1
急性病毒性Ｄ型肝炎,2004,15,新竹市,東區,M,否,50-54,1
急性病毒性Ｄ型肝炎,2004,27,宜蘭縣,羅東鎮,F,是,25-29,1
急性病毒性Ｄ型肝炎,2004,30,台南市,關廟區,M,否,30-34,1
急性病毒性Ｄ型肝炎,2004,43,新竹市,東區,M,否,50-54,1
急性病毒性Ｄ型肝炎,2004,52,南投縣,南投市,M,否,20-24,1
急性病毒性Ｄ型肝炎,2004,53,台北市,士林區,M,否,30-34,1
急性病毒性Ｄ型肝炎,2005,12,新竹縣,新豐鄉,M,否,45-49,1
急性病毒性Ｄ型肝炎,2005,15,台南市,安南區,M,否,55-59,1
急性病毒性Ｄ型肝炎,2005,15,台南市,鹽水區,M,否,35-39,1
急性病毒性Ｄ型肝炎,2005,45,台南市,永康區,M,否,55-59,1
急性病毒性Ｄ型肝炎,2006,1,台南市,安平區,M,否,30-34,1
急性病毒性Ｄ型肝炎,2006,7,新竹縣,竹東鎮,M,否,40-44,1
急性病毒性Ｄ型肝炎,2006,9,台北市,文山區,M,否,70+,1
急性病毒性Ｄ型肝炎,2006,31,新竹縣,竹北市,M,否,20-24,1
急性病毒性Ｄ型肝炎,2006,44,彰化縣,彰化市,M,否,15-19,1
急性病毒性Ｄ型肝炎,2007,13,台南市,新營區,M,否,50-54,1
急性病毒性Ｄ型肝炎,2008,9,台南市,永康區,M,否,55-59,1
急性病毒性Ｄ型肝炎,2008,23,台南市,永康區,M,否,50-54,1
急性病毒性Ｄ型肝炎,2008,31,台南市,南區,M,否,45-49,1
急性病毒性Ｄ型肝炎,2008,36,雲林縣,麥寮鄉,M,否,30-34,1
急性病毒性Ｄ型肝炎,2009,19,基隆市,中山區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2010,4,台南市,北區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2014,28,台中市,南屯區,M,否,35-39,1
急性病毒性Ｄ型肝炎,2015,9,新北市,新莊區,M,否,45-49,1
急性病毒性Ｄ型肝炎,2015,40,台北市,大安區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2016,6,台北市,內湖區,M,否,25-29,1
急性病毒性Ｄ型肝炎,2016,51,台南市,北區,M,否,40-44,1
急性病毒性Ｄ型肝炎,2021,34,新北市,中和區,M,否,65-69,1
