確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
001,2003,53,台中市,大里區,F,1,45~49,1,66000,66000280
001,2004,30,高雄市,大寮區,M,1,40~44,1,64000,64000140
001,2005,25,台南市,新營區,F,0,70+,1,67000,67000010
001,2005,26,台南市,北區,F,0,70+,1,67000,67000340
001,2006,19,台南市,新市區,F,0,55~59,1,67000,67000200
001,2008,22,高雄市,旗山區,F,0,65~69,1,64000,64000300
001,2009,36,新北市,淡水區,F,0,70+,1,65000,65000100
001,2009,37,雲林縣,莿桐鄉,M,0,30~34,1,10009,10009090
001,2009,38,台南市,新化區,F,0,70+,1,67000,67000180
001,2010,24,桃園市,八德區,F,0,3,1,68000,68000080
001,2010,34,屏東縣,屏東市,F,0,25~29,1,10013,10013010
001,2010,35,台中市,西屯區,M,0,40~44,1,66000,66000060
001,2010,39,台北市,中正區,M,0,55~59,1,63000,63000050
001,2010,40,台北市,松山區,M,0,70+,1,63000,63000010
001,2011,13,高雄市,阿蓮區,F,1,25~29,1,64000,64000230
001,2011,31,台中市,大里區,M,0,65~69,1,66000,66000280
001,2011,46,台南市,永康區,F,0,70+,1,67000,67000310
001,2012,35,彰化縣,大城鄉,M,0,70+,1,10007,10007240
001,2012,36,彰化縣,大城鄉,F,0,70+,1,10007,10007240
001,2012,38,台北市,內湖區,M,0,45~49,1,63000,63000100
001,2012,40,嘉義縣,新港鄉,F,0,60~64,1,10010,10010070
001,2012,42,台北市,士林區,M,0,60~64,1,63000,63000110
001,2013,3,桃園市,八德區,M,0,25~29,1,68000,68000080
001,2013,4,彰化縣,溪湖鎮,M,0,50~54,1,10007,10007110
001,2013,31,嘉義市,東區,F,0,60~64,1,10020,10020010
001,2013,34,彰化縣,田尾鄉,M,0,15~19,1,10007,10007210
001,2013,37,台中市,烏日區,M,0,55~59,1,66000,66000230
001,2013,42,高雄市,旗津區,F,0,30~34,1,64000,64000100
001,2013,43,台中市,西區,F,0,30~34,1,66000,66000040
001,2014,21,嘉義市,東區,M,0,50~54,1,10020,10020010
001,2014,24,雲林縣,四湖鄉,F,0,50~54,1,10009,10009180
001,2014,24,高雄市,鼓山區,F,0,60~64,1,64000,64000020
001,2014,33,新北市,淡水區,F,0,65~69,1,65000,65000100
001,2015,16,高雄市,林園區,M,0,40~44,1,64000,64000130
001,2015,16,高雄市,梓官區,M,0,50~54,1,64000,64000290
001,2015,17,高雄市,前鎮區,F,0,55~59,1,64000,64000090
001,2015,17,新北市,中和區,M,0,60~64,1,65000,65000030
001,2015,32,桃園市,龍潭區,M,0,4,1,68000,68000090
001,2015,34,台中市,西區,F,0,70+,1,66000,66000040
001,2015,35,台南市,歸仁區,M,0,60~64,1,67000,67000280
001,2015,38,嘉義市,西區,M,0,30~34,1,10020,10020020
001,2015,40,台南市,新營區,M,1,55~59,1,67000,67000010
001,2015,41,台南市,新營區,M,0,70+,1,67000,67000010
001,2016,27,高雄市,三民區,F,0,65~69,1,64000,64000050
001,2016,27,高雄市,三民區,F,0,65~69,1,64000,64000051
001,2016,27,高雄市,三民區,F,0,65~69,1,64000,64000052
001,2016,27,高雄市,鳳山區,M,0,45~49,1,64000,64000120
001,2016,28,桃園市,龍潭區,F,0,10~14,1,68000,68000090
001,2016,32,台中市,龍井區,F,0,70+,1,66000,66000250
001,2016,33,彰化縣,溪湖鎮,M,0,65~69,1,10007,10007110
001,2016,33,台中市,大甲區,M,0,70+,1,66000,66000110
001,2016,34,彰化縣,二林鎮,M,0,50~54,1,10007,10007200
001,2016,39,嘉義縣,太保市,M,0,15~19,1,10010,10010010
001,2016,43,苗栗縣,通霄鎮,F,0,65~69,1,10005,10005030
001,2017,38,台中市,梧棲區,M,0,55~59,1,66000,66000140
001,2017,43,桃園市,蘆竹區,M,1,45~49,1,68000,68000050
001,2018,28,新竹縣,新豐鄉,M,0,70+,1,10004,10004060
001,2018,29,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
001,2018,30,南投縣,草屯鎮,M,0,70+,1,10008,10008030
001,2018,31,桃園市,桃園區,F,0,70+,1,68000,68000010
001,2018,33,新竹縣,竹北市,M,0,60~64,1,10004,10004010
001,2018,36,嘉義縣,民雄鄉,M,0,50~54,1,10010,10010050
001,2018,38,彰化縣,埔心鄉,M,0,50~54,1,10007,10007150
001,2020,36,台東縣,台東市,M,0,70+,1,10014,10014010
001,2022,42,南投縣,仁愛鄉,F,0,45~49,1,10008,10008130
001,2022,47,嘉義縣,新港鄉,M,0,70+,1,10010,10010070
001,2023,26,新竹市,香山區,M,0,20~24,1,10018,10018030
