確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070x,2005,7,台北市,中正區,M,0,70+,1,63000,63000050
070x,2005,15,桃園市,中壢區,F,0,4,1,68000,68000020
070x,2005,21,彰化縣,鹿港鎮,M,0,5~9,1,10007,10007020
070x,2005,23,嘉義市,西區,M,0,3,1,10020,10020020
070x,2005,38,台南市,鹽水區,F,0,55~59,1,67000,67000020
070x,2005,38,桃園市,楊梅區,M,0,70+,1,68000,68000040
070x,2005,45,雲林縣,斗六市,F,0,65~69,1,10009,10009010
070x,2005,46,高雄市,前金區,F,0,15~19,1,64000,64000070
070x,2005,48,雲林縣,斗六市,M,0,40~44,1,10009,10009010
070x,2005,50,新北市,三重區,M,0,60~64,1,65000,65000020
070x,2005,50,台南市,北區,M,0,50~54,1,67000,67000340
070x,2005,51,新竹縣,尖石鄉,M,0,20~24,1,10004,10004120
070x,2005,53,台北市,士林區,M,0,25~29,1,63000,63000110
070x,2006,5,高雄市,左營區,F,0,40~44,1,64000,64000030
070x,2006,10,苗栗縣,公館鄉,F,0,55~59,1,10005,10005090
070x,2006,18,桃園市,大園區,F,0,45~49,1,68000,68000060
070x,2006,20,台北市,南港區,M,0,15~19,1,63000,63000090
070x,2006,23,台北市,中山區,F,0,65~69,1,63000,63000040
070x,2006,29,台北市,文山區,F,0,30~34,1,63000,63000080
070x,2006,30,新竹市,北區,F,0,65~69,1,10018,10018020
070x,2006,35,台北市,北投區,M,0,45~49,1,63000,63000120
070x,2006,49,宜蘭縣,礁溪鄉,M,0,35~39,1,10002,10002050
070x,2007,10,高雄市,苓雅區,F,0,15~19,1,64000,64000080
070x,2007,22,台北市,南港區,F,0,35~39,1,63000,63000090
070x,2007,24,台北市,大同區,F,0,70+,1,63000,63000060
070x,2007,25,高雄市,大寮區,F,0,30~34,1,64000,64000140
070x,2007,31,台南市,安南區,M,0,20~24,1,67000,67000350
070x,2007,34,嘉義縣,東石鄉,F,0,60~64,1,10010,10010090
070x,2007,36,台北市,南港區,F,0,10~14,1,63000,63000090
070x,2007,42,新北市,蘆洲區,M,0,10~14,1,65000,65000140
070x,2007,48,台南市,麻豆區,F,0,65~69,1,67000,67000070
070x,2007,51,新北市,淡水區,M,0,25~29,1,65000,65000100
070x,2007,53,高雄市,前鎮區,F,0,50~54,1,64000,64000090
070x,2008,2,高雄市,鳳山區,M,0,50~54,1,64000,64000120
070x,2008,6,高雄市,鼓山區,M,0,65~69,1,64000,64000020
070x,2008,10,屏東縣,萬巒鄉,F,0,40~44,1,10013,10013120
070x,2008,12,台南市,仁德區,F,0,25~29,1,67000,67000270
070x,2008,15,雲林縣,斗六市,F,0,20~24,1,10009,10009010
070x,2008,15,台中市,南區,F,0,30~34,1,66000,66000030
070x,2008,17,台中市,東勢區,M,0,60~64,1,66000,66000100
070x,2008,17,台南市,南區,F,0,50~54,1,67000,67000330
070x,2008,18,台南市,東區,M,0,50~54,1,67000,67000320
070x,2008,29,新北市,新莊區,M,0,3,1,65000,65000050
070x,2008,29,台南市,永康區,F,0,30~34,1,67000,67000310
070x,2008,31,基隆市,七堵區,F,0,10~14,1,10017,10017020
070x,2008,32,高雄市,三民區,M,0,35~39,1,64000,64000050
070x,2008,38,基隆市,七堵區,M,0,10~14,1,10017,10017020
070x,2008,39,台北市,松山區,F,0,35~39,1,63000,63000010
070x,2008,41,新北市,蘆洲區,M,0,30~34,1,65000,65000140
070x,2008,42,台北市,士林區,F,0,40~44,1,63000,63000110
070x,2008,47,高雄市,前鎮區,F,0,30~34,1,64000,64000090
070x,2008,47,高雄市,苓雅區,F,0,35~39,1,64000,64000080
070x,2008,48,台南市,安南區,M,0,45~49,1,67000,67000350
070x,2008,49,台南市,新化區,M,0,60~64,1,67000,67000180
070x,2008,51,高雄市,前鎮區,M,0,55~59,1,64000,64000090
070x,2009,2,台北市,松山區,F,0,55~59,1,63000,63000010
070x,2009,6,台南市(舊),北區,M,0,4,1,10021,10021040
070x,2009,6,高雄市,路竹區,F,0,45~49,1,64000,64000240
070x,2009,7,嘉義市,西區,M,0,50~54,1,10020,10020020
070x,2009,7,台南市,安南區,F,0,70+,1,67000,67000350
070x,2009,7,台南市,歸仁區,M,0,35~39,1,67000,67000280
070x,2009,10,高雄市,前鎮區,F,0,65~69,1,64000,64000090
070x,2009,12,台南市,安南區,M,0,55~59,1,67000,67000350
070x,2009,13,台北市,信義區,F,0,30~34,1,63000,63000020
