醫事機構代碼,醫事機構名稱,縣市別,區管別,地址,更新日期,醫事機構層級,MDR,緯度,經度
0101180036,台北市立聯合醫院和平院區,0118,1,台北市中正區中華路２段３３號,2007/5/7  ,2,Y,25.035561,121.5065878
0102080017,高雄市立民生醫院,0735,5,高雄市苓雅區凱旋二路１３４號,2010/7/19 ,3,Y,22.626625,120.3235881
0117030010,衛生福利部台中醫院,0324,3,台中市西區三民路一段１９９號,2016/1/25 ,2,Y,24.1406262,120.6762712
0121050011,衛生福利部台南醫院,0534,4,台南市中區中山路１２５號,2009/5/1  ,2,Y,22.9960707,120.2088778
0122020517,衛生福利部嘉義醫院,2201,4,嘉義市西區福全里北港路３１２號,2007/5/7  ,3,Y,23.4810044,120.4283733
0131060029,衛生福利部台北醫院,3106,1,新北市新莊市思源路１２７號１樓,2010/12/27,2,Y,25.0429644,121.4595886
0132010014,衛生福利部桃園醫院,3201,2,桃園縣桃園巿中山路１４９２號,2013/5/20 ,2,Y,24.9777031,121.2691911
0132110519,衛生福利部桃園醫院新屋分院,3211,2,桃園縣新屋鄉新福二路６號,2007/5/7  ,3,Y,24.969636,121.107013
0136010010,衛生福利部豐原醫院,0301,3,台中縣豐原市安康路１００號,2007/5/16 ,2,Y,24.2428051,120.7252423
0137170515,衛生福利部彰化醫院,3717,3,彰化縣彰化市中山路二段１６０號,2007/5/16 ,2,Y,24.0683359,120.541561
0138010027,衛生福利部南投醫院,3801,3,南投縣南投市康壽里復興路４７８號,2016/2/23 ,3,Y,23.9140079,120.6849431
0141270019,衛生福利部胸腔病院,0527,4,台南市仁德鄉中山路864號,2011/4/18 ,3,Y,22.9737872,120.243807
0142030019,衛生福利部旗山醫院,0703,5,高雄縣旗山鎮大德里中學路６０號,2007/5/7  ,3,Y,22.8807955,120.483264
0143010011,衛生福利部屏東醫院,4301,5,屏東縣屏東市自由路２７０號,2007/5/7  ,2,Y,22.6733243,120.4955525
0145010019,衛生福利部花蓮醫院,4501,6,花蓮巿明禮路４號,2007/11/23,3,Y,23.982389,121.6085136
0146010013,衛生福利部台東醫院,4601,6,台東市五權街１號,2011/2/1  ,3,Y,22.7572027,121.1498616
0412040012,國立臺灣大學醫學院附設醫院新竹分院,1204,2,新竹市經國路一段４４２巷２５號,2016/1/25 ,2,Y,24.816467,120.9795262
0421040011,成功大學醫學院附設醫院,0535,4,台南市勝利路１３８號,2007/5/16 ,1,Y,23.0021803,120.2189867
0433030016,國立台灣大學醫學院附設醫院竹東分院,3303,2,新竹縣竹東鎮至善路５２號,2011/8/1  ,3,Y,24.7189239,121.093259
0602030026,退輔會高雄榮民總醫院,0730,5,高雄市左營區大中一路３８６號,2016/8/16 ,1,Y,22.6797767,120.3223911
0617060018,退輔會台中榮民總醫院,0327,3,台中市西屯區中港路三段１６０號,2007/5/16 ,1,Y,24.1854343,120.6138722
0640140012,退輔會灣橋榮民醫院,4014,4,嘉義縣竹崎鄉灣橋村石麻園３８號,2007/5/7  ,3,Y,23.4876922,120.5065154
0645020015,臺北榮民總醫院鳳林分院,4502,6,花蓮縣鳳林鎮鳳信里中正路一段２號,2014/10/7 ,3,Y,23.7266258,121.439971
1101100011,馬偕紀念醫院,0110,1,台北市中山區中山北路２段９２號,2007/5/16 ,1,Y,25.0588322,121.5223675
1131040515,衛生福利部雙和醫院(委託臺北醫學大學興建經營),3104,1,新北市中和市力行里中正路２９１號,2010/12/27,3,Y,24.9941049,121.4945064
1137010024,彰化基督教醫院,3701,3,彰化縣彰化市光南村南校街１３５號,2008/12/29,1,Y,24.0715309,120.5446075
1145010010,佛教慈濟綜合醫院,4501,6,花蓮市中央路三段７０７號,2007/5/16 ,1,Y,23.9962048,121.5925472
1145010038,台灣基督教門諾會醫院,4501,6,花蓮巿民權路４４號,2007/5/16 ,2,Y,23.9878102,121.6263725
1145030012,慈濟醫院玉里分院,4503,6,花蓮縣玉里鎮民權路56號,2005/10/26,3,Y,23.3347563,121.3158018
1146010014,馬偕紀念醫院台東分院,4601,6,台東市長沙街３０３巷１號,2007/5/16 ,2,Y,22.7510439,121.140758
1146030516,慈濟醫院關山分院,4603,6,台東縣關山鎮和平路１２５－５號,2006/9/19 ,3,Y,23.057294,121.1669677
1301200010,臺北市立萬芳醫院,0120,1,台市文山區興隆路３段１１１號,2016/5/3  ,1,Y,24.9996897,121.5575845
1317040011,中山醫學院附設醫院,0325,3,台中市南區建國北路一段110號,2007/5/16 ,1,Y,24.1219493,120.6513895
1317050017,中國醫藥學院附設醫院,0326,3,台中市北區育德路2號,2007/5/16 ,1,Y,24.1576494,120.6805492
