確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
052VC,2013,51,桃園市,桃園區,M,0,70+,1,68000,68000010
052VC,2013,52,高雄市,楠梓區,F,0,2,1,64000,64000040
052VC,2014,1,台中市,西區,F,0,40~44,1,66000,66000040
052VC,2014,2,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
052VC,2014,2,新北市,土城區,F,0,40~44,1,65000,65000130
052VC,2014,3,台北市,文山區,M,0,15~19,1,63000,63000080
052VC,2014,3,新北市,林口區,M,0,30~34,1,65000,65000170
052VC,2014,4,新竹市,香山區,M,0,25~29,1,10018,10018030
052VC,2014,4,桃園市,中壢區,F,0,35~39,1,68000,68000020
052VC,2014,5,嘉義縣,朴子市,M,0,15~19,1,10010,10010020
052VC,2014,5,新北市,板橋區,F,0,25~29,1,65000,65000010
052VC,2014,5,台南市,南區,F,0,15~19,1,67000,67000330
052VC,2014,6,新竹市,東區,F,0,30~34,1,10018,10018010
052VC,2014,6,台北市,松山區,F,0,0,1,63000,63000010
052VC,2014,6,高雄市,大寮區,M,0,40~44,1,64000,64000140
052VC,2014,6,新北市,板橋區,F,0,25~29,1,65000,65000010
052VC,2014,6,台中市,大雅區,M,1,20~24,1,66000,66000180
052VC,2014,7,台北市,中山區,F,0,40~44,1,63000,63000040
052VC,2014,7,新北市,永和區,F,0,30~34,1,65000,65000040
052VC,2014,8,台中市,大雅區,M,0,35~39,1,66000,66000180
052VC,2014,9,宜蘭縣,宜蘭市,M,0,15~19,1,10002,10002010
052VC,2014,9,台北市,中山區,F,0,35~39,1,63000,63000040
052VC,2014,12,嘉義縣,新港鄉,F,0,50~54,1,10010,10010070
052VC,2014,13,新北市,瑞芳區,F,0,1,1,65000,65000120
052VC,2014,14,台北市,信義區,M,0,2,1,63000,63000020
052VC,2014,15,台中市,北屯區,F,0,3,1,66000,66000080
052VC,2014,16,台東縣,關山鎮,F,0,0,1,10014,10014030
052VC,2014,17,台中市,大安區,F,0,20~24,1,66000,66000220
052VC,2014,19,台北市,文山區,M,0,25~29,1,63000,63000080
052VC,2014,20,新北市,土城區,M,0,5~9,1,65000,65000130
052VC,2014,20,台南市,安南區,M,0,10~14,1,67000,67000350
052VC,2014,23,新北市,新莊區,F,0,30~34,1,65000,65000050
052VC,2014,24,高雄市,三民區,M,0,35~39,1,64000,64000050
052VC,2014,27,新北市,板橋區,F,0,10~14,1,65000,65000010
052VC,2014,29,屏東縣,新園鄉,F,0,10~14,1,10013,10013170
052VC,2014,31,南投縣,國姓鄉,M,0,1,1,10008,10008100
052VC,2014,35,花蓮縣,卓溪鄉,M,0,0,1,10015,10015130
052VC,2014,36,台中市,西屯區,M,0,15~19,1,66000,66000060
052VC,2014,36,台中市,西屯區,F,0,70+,1,66000,66000060
052VC,2014,38,台北市,北投區,M,0,60~64,1,63000,63000120
052VC,2014,39,嘉義縣,朴子市,F,0,30~34,1,10010,10010020
052VC,2014,39,新北市,板橋區,F,0,15~19,1,65000,65000010
052VC,2014,39,台中市,神岡區,M,0,40~44,1,66000,66000160
052VC,2014,41,台北市,文山區,M,0,25~29,1,63000,63000080
052VC,2014,41,新北市,板橋區,F,0,15~19,1,65000,65000010
052VC,2014,42,高雄市,三民區,F,0,10~14,1,64000,64000050
052VC,2014,42,新北市,板橋區,F,0,5~9,1,65000,65000010
052VC,2014,43,嘉義縣,鹿草鄉,M,0,30~34,1,10010,10010110
052VC,2014,44,花蓮縣,秀林鄉,F,0,10~14,1,10015,10015110
052VC,2014,46,台東縣,延平鄉,M,0,15~19,1,10014,10014130
052VC,2014,46,嘉義市,東區,M,0,45~49,1,10020,10020010
052VC,2014,48,嘉義縣,鹿草鄉,M,0,45~49,1,10010,10010110
052VC,2014,48,桃園市,大溪區,M,0,15~19,1,68000,68000030
052VC,2014,49,屏東縣,高樹鄉,M,0,60~64,1,10013,10013110
052VC,2014,49,台南市,後壁區,M,0,45~49,1,67000,67000050
052VC,2014,51,台中市,大肚區,F,0,65~69,1,66000,66000240
052VC,2014,53,基隆市,中山區,M,0,45~49,1,10017,10017050
052VC,2014,53,高雄市,大寮區,F,0,35~39,1,64000,64000140
052VC,2015,1,宜蘭縣,羅東鎮,M,1,30~34,1,10002,10002020
052VC,2015,1,桃園市,八德區,M,0,15~19,1,68000,68000080
052VC,2015,3,台中市,后里區,M,0,20~24,1,66000,66000150
052VC,2015,4,嘉義縣,大林鎮,F,0,60~64,1,10010,10010040
052VC,2015,5,花蓮縣,吉安鄉,M,0,40~44,1,10015,10015050
052VC,2015,6,台東縣,長濱鄉,M,0,25~29,1,10014,10014080
052VC,2015,6,台北市,大安區,F,0,0,1,63000,63000030
052VC,2015,6,台中市,烏日區,M,0,35~39,1,66000,66000230
052VC,2015,7,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
052VC,2015,7,高雄市,左營區,M,0,1,1,64000,64000030
052VC,2015,7,新北市,樹林區,F,0,0,1,65000,65000070
052VC,2015,7,台南市,安平區,M,0,70+,1,67000,67000360
052VC,2015,8,新竹縣,竹北市,M,0,15~19,1,10004,10004010
052VC,2015,9,台南市,安南區,F,0,40~44,1,67000,67000350
052VC,2015,10,新北市,新店區,F,0,20~24,1,65000,65000060
052VC,2015,10,台中市,神岡區,M,0,25~29,1,66000,66000160
052VC,2015,11,新竹縣,竹北市,M,0,20~24,1,10004,10004010
052VC,2015,13,新竹市,香山區,M,0,1,1,10018,10018030
052VC,2015,15,新北市,三重區,M,0,30~34,1,65000,65000020
052VC,2015,16,新北市,新莊區,M,0,45~49,1,65000,65000050
052VC,2015,16,台中市,清水區,M,0,15~19,1,66000,66000120
052VC,2015,18,桃園市,新屋區,M,0,15~19,1,68000,68000110
052VC,2015,19,宜蘭縣,冬山鄉,F,0,4,1,10002,10002080
052VC,2015,20,新北市,新店區,M,0,50~54,1,65000,65000060
052VC,2015,21,新北市,樹林區,F,0,35~39,1,65000,65000070
052VC,2015,21,台中市,西區,M,0,60~64,1,66000,66000040
052VC,2015,22,高雄市,三民區,F,0,35~39,1,64000,64000050
052VC,2015,24,台中市,東勢區,M,0,35~39,1,66000,66000100
052VC,2015,25,高雄市,鼓山區,F,0,70+,1,64000,64000020
052VC,2015,27,高雄市,彌陀區,M,0,65~69,1,64000,64000280
