確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0786,2004,5,連江縣,南竿鄉,M,0,20~24,1,09007,09007010
0786,2004,13,屏東縣,萬丹鄉,M,0,60~64,1,10013,10013050
0786,2004,24,台中市,南屯區,M,0,40~44,1,66000,66000070
0786,2006,11,澎湖縣,馬公市,M,0,25~29,1,10016,10016010
0786,2006,16,台北市,信義區,M,0,20~24,1,63000,63000020
0786,2006,18,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0786,2007,50,新北市,新店區,M,1,45~49,1,65000,65000060
0786,2008,12,高雄市,前鎮區,M,0,25~29,1,64000,64000090
0786,2010,10,新北市,五股區,M,0,35~39,1,65000,65000150
0786,2012,25,高雄市,阿蓮區,M,0,60~64,1,64000,64000230
0786,2014,6,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2014,50,新北市,蘆洲區,M,0,40~44,1,65000,65000140
0786,2015,27,新北市,新店區,M,0,50~54,1,65000,65000060
0786,2015,35,新北市,三重區,M,0,55~59,1,65000,65000020
0786,2016,7,高雄市,苓雅區,F,0,70+,1,64000,64000080
0786,2016,11,高雄市,苓雅區,F,0,20~24,1,64000,64000080
0786,2016,13,高雄市,苓雅區,M,0,55~59,1,64000,64000080
0786,2016,51,高雄市,鳳山區,M,0,55~59,1,64000,64000120
0786,2018,10,新北市,淡水區,M,0,40~44,1,65000,65000100
0786,2019,32,宜蘭縣,蘇澳鎮,M,0,25~29,1,10002,10002030
0786,2019,45,新北市,三重區,F,1,60~64,1,65000,65000020
0786,2019,52,高雄市,三民區,F,0,65~69,1,64000,64000050
0786,2019,52,高雄市,三民區,F,0,65~69,1,64000,64000051
0786,2019,52,高雄市,三民區,F,0,65~69,1,64000,64000052
0786,2020,3,高雄市,三民區,F,0,50~54,1,64000,64000050
0786,2020,3,高雄市,三民區,F,0,50~54,1,64000,64000051
0786,2020,3,高雄市,三民區,F,0,50~54,1,64000,64000052
0786,2020,8,高雄市,三民區,F,0,45~49,1,64000,64000050
0786,2020,8,高雄市,三民區,F,0,45~49,1,64000,64000051
0786,2020,8,高雄市,三民區,F,0,45~49,1,64000,64000052
0786,2020,15,基隆市,安樂區,M,0,40~44,1,10017,10017060
0786,2020,15,高雄市,鹽埕區,M,0,30~34,1,64000,64000010
0786,2020,16,新北市,三重區,F,0,55~59,1,65000,65000020
0786,2020,18,高雄市,鳳山區,F,0,55~59,1,64000,64000120
0786,2020,23,屏東縣,屏東市,M,0,45~49,1,10013,10013010
0786,2020,34,屏東縣,萬丹鄉,F,0,55~59,1,10013,10013050
0786,2020,39,新北市,三重區,F,0,50~54,1,65000,65000020
0786,2020,40,屏東縣,屏東市,F,0,35~39,1,10013,10013010
0786,2020,52,高雄市,前鎮區,M,0,15~19,1,64000,64000090
0786,2021,1,高雄市,苓雅區,M,0,50~54,1,64000,64000080
0786,2021,3,彰化縣,大村鄉,M,0,30~34,1,10007,10007130
0786,2021,11,高雄市,岡山區,M,0,35~39,1,64000,64000190
0786,2021,16,高雄市,前鎮區,M,0,60~64,1,64000,64000090
0786,2021,17,高雄市,湖內區,M,0,50~54,1,64000,64000250
0786,2021,18,台中市,清水區,M,0,45~49,1,66000,66000120
0786,2021,26,新北市,蘆洲區,F,0,60~64,1,65000,65000140
0786,2021,30,台北市,中正區,M,0,45~49,1,63000,63000050
