確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
061,2003,1,高雄市,三民區,M,0,1,1,64000,64000050
061,2003,1,高雄市,三民區,F,0,40~44,1,64000,64000050
061,2003,1,高雄市,三民區,M,0,55~59,1,64000,64000050
061,2003,1,高雄市,三民區,M,0,60~64,1,64000,64000050
061,2003,1,高雄市,前金區,M,0,65~69,1,64000,64000070
061,2003,1,高雄市,大寮區,F,0,30~34,1,64000,64000140
061,2003,1,高雄市,小港區,M,0,55~59,1,64000,64000110
061,2003,1,高雄市,楠梓區,M,0,60~64,1,64000,64000040
061,2003,1,高雄市,鳳山區,M,0,30~34,1,64000,64000120
061,2003,1,高雄市,鹽埕區,F,0,20~24,1,64000,64000010
061,2003,1,桃園市,平鎮區,M,1,40~44,1,68000,68000100
061,2003,2,屏東縣,屏東市,M,0,10~14,1,10013,10013010
061,2003,2,台北市,中山區,F,1,35~39,1,63000,63000040
061,2003,2,高雄市,三民區,F,0,15~19,1,64000,64000050
061,2003,2,高雄市,三民區,F,0,40~44,1,64000,64000050
061,2003,2,高雄市,左營區,M,0,50~54,1,64000,64000030
061,2003,2,高雄市,苓雅區,M,1,30~34,1,64000,64000080
061,2003,2,高雄市,鹽埕區,M,0,40~44,1,64000,64000010
061,2003,2,高雄市,鼓山區,M,0,70+,1,64000,64000020
061,2003,2,台中市,北屯區,M,1,10~14,1,66000,66000080
061,2003,2,台南市,南區,F,0,65~69,1,67000,67000330
061,2003,2,桃園市,中壢區,F,1,45~49,1,68000,68000020
061,2003,3,屏東縣,屏東市,M,0,55~59,1,10013,10013010
061,2003,3,高雄市,三民區,F,0,30~34,1,64000,64000050
061,2003,3,高雄市,三民區,M,0,45~49,3,64000,64000050
061,2003,3,高雄市,三民區,F,0,65~69,1,64000,64000050
061,2003,3,高雄市,鳥松區,M,0,45~49,1,64000,64000180
061,2003,3,高雄市,鳳山區,M,0,70+,1,64000,64000120
061,2003,3,高雄市,鼓山區,M,0,20~24,1,64000,64000020
