確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
百日咳,2003,3,新北市,三峽區,M,否,2,1
百日咳,2003,6,台北市,萬華區,M,否,0,1
百日咳,2003,7,南投縣,南投市,F,否,10-14,1
百日咳,2003,12,南投縣,南投市,F,否,0,1
百日咳,2003,14,新北市,汐止區,F,否,0,1
百日咳,2003,15,新北市,三重區,F,否,0,1
百日咳,2003,15,新北市,新莊區,M,否,0,1
百日咳,2003,16,桃園市,八德區,F,否,15-19,1
百日咳,2003,17,新北市,三重區,M,否,30-34,1
百日咳,2003,17,新北市,三重區,F,否,45-49,1
百日咳,2003,17,新北市,三重區,M,否,45-49,1
百日咳,2003,23,台北市,中山區,M,否,0,1
百日咳,2003,25,台北市,中山區,F,否,5-9,1
百日咳,2003,25,基隆市,中正區,F,否,5-9,1
百日咳,2003,26,雲林縣,斗南鎮,M,否,0,1
百日咳,2003,27,桃園市,蘆竹區,M,否,0,1
百日咳,2003,29,台中市,潭子區,F,否,0,1
百日咳,2003,29,基隆市,中正區,F,否,55-59,1
百日咳,2003,32,新北市,土城區,M,否,5-9,1
百日咳,2003,40,新北市,中和區,F,否,25-29,1
百日咳,2003,46,台北市,中山區,M,否,15-19,1
百日咳,2003,47,新北市,中和區,M,否,1,1
百日咳,2003,47,新北市,中和區,M,否,55-59,1
百日咳,2003,48,新北市,中和區,F,否,2,1
百日咳,2003,52,台北市,內湖區,M,否,15-19,1
百日咳,2003,52,彰化縣,福興鄉,M,否,0,1
百日咳,2004,7,新北市,新莊區,M,否,0,1
百日咳,2004,7,新北市,永和區,M,否,4,1
百日咳,2004,7,新北市,蘆洲區,M,否,50-54,1
百日咳,2004,10,新北市,永和區,M,否,0,1
百日咳,2004,24,台北市,信義區,F,否,10-14,1
百日咳,2004,30,桃園市,大溪區,F,否,0,1
百日咳,2004,33,嘉義縣,梅山鄉,F,否,10-14,1
百日咳,2004,36,新北市,樹林區,M,否,0,1
百日咳,2004,37,台北市,中山區,F,否,10-14,1
百日咳,2004,39,台北市,中山區,F,否,10-14,1
百日咳,2004,41,新竹縣,新豐鄉,F,否,30-34,1
百日咳,2004,44,宜蘭縣,頭城鎮,M,否,10-14,1
百日咳,2004,46,新北市,鶯歌區,M,否,0,1
百日咳,2004,46,宜蘭縣,頭城鎮,F,否,10-14,2
百日咳,2004,47,宜蘭縣,頭城鎮,M,否,10-14,2
百日咳,2004,47,宜蘭縣,頭城鎮,F,否,35-39,1
百日咳,2004,48,宜蘭縣,頭城鎮,M,否,10-14,1
百日咳,2004,49,新北市,鶯歌區,F,否,70+,1
百日咳,2004,50,宜蘭縣,頭城鎮,M,否,10-14,1
百日咳,2005,1,新北市,蘆洲區,F,否,0,1
百日咳,2005,6,台中市,西屯區,M,否,20-24,1
百日咳,2005,6,台中市,西屯區,M,否,25-29,1
百日咳,2005,6,高雄市,大社區,M,否,0,1
百日咳,2005,6,高雄市,大社區,M,否,25-29,1
百日咳,2005,7,台中市,北屯區,F,否,0,1
百日咳,2005,7,台中市,西屯區,M,否,0,1
百日咳,2005,8,台中市,潭子區,F,否,0,1
百日咳,2005,10,台北市,中正區,F,否,0,1
百日咳,2005,12,台北市,中正區,F,否,50-54,1
百日咳,2005,12,台北市,中正區,M,否,60-64,1
