確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
4828,2003,2,高雄市,新興區,M,0,55~59,1,64000,64000060
4828,2003,3,新北市,三峽區,M,0,55~59,1,65000,65000090
4828,2003,5,花蓮縣,玉里鎮,M,0,60~64,1,10015,10015030
4828,2003,6,花蓮縣,豐濱鄉,M,0,70+,1,10015,10015080
4828,2003,8,花蓮縣,光復鄉,F,0,65~69,1,10015,10015070
4828,2003,8,花蓮縣,豐濱鄉,F,0,65~69,1,10015,10015080
4828,2003,10,花蓮縣,光復鄉,M,0,70+,1,10015,10015070
4828,2003,10,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
4828,2003,11,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,11,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
4828,2003,11,新北市,中和區,M,0,70+,1,65000,65000030
4828,2003,11,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,12,苗栗縣,後龍鎮,F,0,40~44,1,10005,10005060
4828,2003,13,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
4828,2003,13,花蓮縣,吉安鄉,F,0,50~54,1,10015,10015050
4828,2003,13,花蓮縣,新城鄉,F,0,35~39,1,10015,10015040
4828,2003,13,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,13,台中市,太平區,F,0,60~64,1,66000,66000270
4828,2003,14,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2003,14,台北市,大安區,M,1,55~59,1,63000,63000030
4828,2003,16,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,16,新北市,板橋區,M,0,55~59,1,65000,65000010
4828,2003,16,台中市,龍井區,M,0,70+,1,66000,66000250
4828,2003,18,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
4828,2003,18,花蓮縣,花蓮市,F,0,60~64,1,10015,10015010
4828,2003,18,台中市,大甲區,M,0,70+,1,66000,66000110
4828,2003,19,新竹縣,湖口鄉,F,0,65~69,1,10004,10004050
4828,2003,19,花蓮縣,壽豐鄉,M,0,35~39,1,10015,10015060
4828,2003,20,花蓮縣,花蓮市,M,0,20~24,1,10015,10015010
4828,2003,20,花蓮縣,花蓮市,M,0,55~59,1,10015,10015010
4828,2003,20,花蓮縣,花蓮市,M,0,70+,3,10015,10015010
4828,2003,20,澎湖縣,馬公市,M,0,60~64,1,10016,10016010
4828,2003,20,台北市,北投區,M,0,40~44,1,63000,63000120
4828,2003,21,花蓮縣,壽豐鄉,M,0,20~24,1,10015,10015060
4828,2003,21,花蓮縣,富里鄉,F,0,35~39,1,10015,10015100
4828,2003,21,花蓮縣,秀林鄉,M,0,55~59,1,10015,10015110
4828,2003,21,花蓮縣,花蓮市,F,0,20~24,1,10015,10015010
4828,2003,21,台北市,萬華區,M,0,70+,1,63000,63000070
4828,2003,22,花蓮縣,花蓮市,M,0,45~49,1,10015,10015010
4828,2003,23,花蓮縣,吉安鄉,F,0,30~34,1,10015,10015050
4828,2003,23,花蓮縣,花蓮市,F,0,35~39,1,10015,10015010
4828,2003,24,台北市,中正區,M,0,70+,1,63000,63000050
4828,2003,24,台北市,北投區,M,0,40~44,1,63000,63000120
4828,2003,24,台北市,士林區,M,0,30~34,1,63000,63000110
4828,2003,24,新北市,板橋區,M,0,35~39,1,65000,65000010
4828,2003,24,台南市,新市區,F,0,55~59,1,67000,67000200
4828,2003,25,苗栗縣,造橋鄉,F,0,15~19,1,10005,10005150
4828,2003,25,新北市,雙溪區,M,0,70+,1,65000,65000250
4828,2003,26,新竹縣,竹北市,F,0,60~64,1,10004,10004010
4828,2003,26,苗栗縣,頭份市,M,0,40~44,1,10005,10005050
4828,2003,26,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,26,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
4828,2003,26,花蓮縣,鳳林鎮,F,0,25~29,1,10015,10015020
4828,2003,26,新北市,樹林區,M,0,50~54,1,65000,65000070
4828,2003,27,苗栗縣,苗栗市,F,0,70+,1,10005,10005010
4828,2003,27,花蓮縣,花蓮市,F,0,35~39,1,10015,10015010
4828,2003,28,高雄市,橋頭區,M,0,45~49,1,64000,64000200
4828,2003,29,台北市,士林區,M,0,40~44,1,63000,63000110
4828,2003,29,新北市,中和區,M,0,65~69,1,65000,65000030
4828,2003,30,新北市,樹林區,M,0,65~69,1,65000,65000070
4828,2003,31,新北市,板橋區,M,0,60~64,1,65000,65000010
4828,2003,32,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,33,新北市,土城區,M,0,30~34,1,65000,65000130
4828,2003,33,台中市,豐原區,M,0,60~64,1,66000,66000090
4828,2003,34,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
4828,2003,34,新北市,三峽區,M,1,70+,1,65000,65000090
4828,2003,36,雲林縣,林內鄉,M,1,70+,1,10009,10009100
4828,2003,37,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,37,新北市,永和區,M,0,70+,1,65000,65000040
4828,2003,38,新北市,土城區,M,0,65~69,1,65000,65000130
4828,2003,38,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,39,宜蘭縣,宜蘭市,F,0,65~69,1,10002,10002010
4828,2003,39,新北市,板橋區,M,0,50~54,1,65000,65000010
4828,2003,40,花蓮縣,壽豐鄉,M,0,60~64,1,10015,10015060
4828,2003,40,花蓮縣,玉里鎮,F,0,45~49,1,10015,10015030
4828,2003,40,台中市,大肚區,M,0,70+,1,66000,66000240
4828,2003,42,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
4828,2003,42,花蓮縣,壽豐鄉,M,0,35~39,1,10015,10015060
4828,2003,42,花蓮縣,壽豐鄉,F,0,40~44,1,10015,10015060
4828,2003,42,高雄市,鼓山區,M,0,70+,1,64000,64000020
4828,2003,42,新北市,三重區,M,0,70+,1,65000,65000020
4828,2003,42,新北市,板橋區,M,0,45~49,1,65000,65000010
4828,2003,42,台中市,南屯區,M,0,45~49,1,66000,66000070
4828,2003,43,基隆市,信義區,M,0,70+,1,10017,10017070
4828,2003,45,花蓮縣,花蓮市,M,0,55~59,1,10015,10015010
4828,2003,45,高雄市,苓雅區,M,0,70+,1,64000,64000080
4828,2003,45,新北市,板橋區,M,0,65~69,1,65000,65000010
4828,2003,45,台南市,東區,F,0,60~64,1,67000,67000320
4828,2003,46,花蓮縣,吉安鄉,M,0,60~64,1,10015,10015050
4828,2003,46,花蓮縣,花蓮市,M,0,45~49,1,10015,10015010
4828,2003,46,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2003,46,台北市,內湖區,M,0,55~59,1,63000,63000100
4828,2003,46,新北市,板橋區,M,0,65~69,1,65000,65000010
4828,2003,48,花蓮縣,新城鄉,F,0,70+,1,10015,10015040
4828,2003,49,台北市,萬華區,M,0,70+,1,63000,63000070
4828,2003,50,台北市,萬華區,M,0,40~44,1,63000,63000070
4828,2003,50,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,50,台中市,東區,M,0,70+,1,66000,66000020
4828,2003,51,苗栗縣,頭份市,M,0,70+,1,10005,10005050
4828,2003,51,南投縣,竹山鎮,M,0,70+,1,10008,10008040
4828,2003,51,新北市,板橋區,M,0,55~59,1,65000,65000010
4828,2003,51,新北市,板橋區,M,0,70+,1,65000,65000010
4828,2003,52,宜蘭縣,頭城鎮,M,0,70+,1,10002,10002040
4828,2003,52,花蓮縣,光復鄉,M,0,50~54,1,10015,10015070
4828,2003,52,台北市,萬華區,M,0,60~64,1,63000,63000070
4828,2003,53,花蓮縣,花蓮市,F,0,55~59,1,10015,10015010
4828,2004,1,新北市,樹林區,F,0,35~39,1,65000,65000070
4828,2004,2,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
4828,2004,3,花蓮縣,花蓮市,F,0,60~64,1,10015,10015010
4828,2004,3,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,3,台北市,北投區,F,0,70+,1,63000,63000120
4828,2004,3,桃園市,龜山區,M,0,70+,1,68000,68000070
4828,2004,4,台中縣(舊),外埔鄉,M,0,70+,1,10006,10006130
4828,2004,4,屏東縣,萬巒鄉,M,0,70+,1,10013,10013120
4828,2004,5,台東縣,台東市,M,0,60~64,1,10014,10014010
4828,2004,5,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,5,新北市,永和區,M,0,70+,1,65000,65000040
4828,2004,5,台中市,南屯區,M,0,60~64,1,66000,66000070
4828,2004,6,台東縣,長濱鄉,F,0,65~69,1,10014,10014080
4828,2004,6,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
4828,2004,6,台北市,中正區,M,0,70+,1,63000,63000050
4828,2004,7,嘉義縣,梅山鄉,M,0,70+,1,10010,10010150
4828,2004,7,嘉義縣,水上鄉,M,0,35~39,1,10010,10010120
4828,2004,7,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,7,高雄市,岡山區,M,0,45~49,1,64000,64000190
4828,2004,8,苗栗縣,苑裡鎮,M,0,70+,1,10005,10005020
4828,2004,8,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,8,桃園市,龍潭區,M,0,70+,1,68000,68000090
4828,2004,9,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
4828,2004,10,台北市,北投區,M,0,45~49,1,63000,63000120
4828,2004,10,台北市,文山區,M,0,70+,1,63000,63000080
4828,2004,10,台南市,東區,F,0,70+,1,67000,67000320
4828,2004,11,桃園市,中壢區,M,0,70+,1,68000,68000020
4828,2004,12,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,12,高雄市,燕巢區,M,0,70+,1,64000,64000210
4828,2004,13,屏東縣,長治鄉,M,0,50~54,1,10013,10013060
4828,2004,13,花蓮縣,光復鄉,M,0,65~69,1,10015,10015070
4828,2004,13,花蓮縣,花蓮市,M,0,65~69,1,10015,10015010
4828,2004,14,新竹縣,竹北市,M,0,50~54,1,10004,10004010
4828,2004,14,花蓮縣,吉安鄉,F,0,65~69,1,10015,10015050
4828,2004,15,花蓮縣,秀林鄉,F,0,70+,1,10015,10015110
4828,2004,15,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
4828,2004,15,台北市,信義區,F,0,35~39,1,63000,63000020
4828,2004,15,新北市,土城區,M,0,50~54,1,65000,65000130
4828,2004,15,新北市,新店區,M,0,50~54,1,65000,65000060
4828,2004,16,屏東縣,車城鄉,F,0,70+,1,10013,10013230
4828,2004,16,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
