確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
麻疹,2003,17,其他,其他,F,是,0,2
麻疹,2003,20,桃園市,龜山區,M,是,1,1
麻疹,2003,38,台南市,六甲區,F,否,35-39,1
麻疹,2003,43,台中市,南區,F,是,25-29,1
麻疹,2003,47,宜蘭縣,冬山鄉,F,是,25-29,1
麻疹,2005,9,新北市,板橋區,M,否,1,1
麻疹,2005,10,宜蘭縣,宜蘭市,F,否,10-14,1
麻疹,2005,11,新北市,板橋區,M,否,2,1
麻疹,2005,35,台北市,南港區,F,否,0,1
麻疹,2005,46,台北市,內湖區,F,否,30-34,1
麻疹,2005,47,新北市,新店區,M,是,40-44,1
麻疹,2005,49,新北市,新莊區,F,否,15-19,1
麻疹,2006,5,彰化縣,溪湖鎮,M,否,40-44,1
麻疹,2006,14,新北市,新莊區,M,是,0,1
麻疹,2006,19,台南市,新化區,F,是,0,1
麻疹,2006,38,新北市,新莊區,F,是,25-29,1
麻疹,2007,21,台南市,安南區,F,是,30-34,1
麻疹,2007,22,台南市,北區,M,是,25-29,1
麻疹,2007,23,新北市,板橋區,F,是,25-29,1
麻疹,2007,29,台中市,南屯區,M,是,0,1
麻疹,2007,30,台中市,北屯區,F,是,0,1
麻疹,2007,31,高雄市,苓雅區,M,是,1,1
麻疹,2007,32,台北市,士林區,F,是,15-19,1
麻疹,2007,52,新北市,中和區,M,是,1,1
麻疹,2007,52,新北市,中和區,F,是,30-34,1
麻疹,2007,52,花蓮縣,花蓮市,F,是,4,1
麻疹,2008,5,桃園市,桃園區,M,是,25-29,1
麻疹,2008,10,嘉義縣,大林鎮,F,是,0,1
麻疹,2008,12,嘉義縣,大林鎮,F,是,30-34,1
麻疹,2008,14,新北市,中和區,M,是,45-49,1
麻疹,2008,17,台北市,中正區,F,是,30-34,1
麻疹,2008,25,桃園市,龜山區,F,否,20-24,1
麻疹,2008,32,基隆市,七堵區,M,是,25-29,1
麻疹,2008,34,基隆市,七堵區,F,否,0,1
麻疹,2008,45,高雄市,三民區,F,是,1,1
麻疹,2008,46,高雄市,前鎮區,M,否,0,1
麻疹,2008,46,高雄市,左營區,F,否,4,1
麻疹,2008,47,高雄市,三民區,F,否,0,1
麻疹,2008,49,高雄市,大寮區,M,否,2,1
麻疹,2008,50,高雄市,大寮區,M,否,2,1
麻疹,2008,51,高雄市,左營區,M,否,0,1
麻疹,2008,52,高雄市,左營區,F,否,35-39,1
麻疹,2009,4,台南市,下營區,F,是,0,1
麻疹,2009,6,台中市,北區,M,是,1,1
麻疹,2009,6,桃園市,中壢區,M,否,5-9,1
麻疹,2009,7,台南市,永康區,F,是,1,1
麻疹,2009,7,新北市,樹林區,M,否,1,1
麻疹,2009,8,台中市,潭子區,F,否,1,1
麻疹,2009,8,台中市,西屯區,M,否,0,1
麻疹,2009,8,台南市,北區,M,否,2,1
麻疹,2009,8,台南市,北區,F,否,35-39,1
麻疹,2009,8,高雄市,三民區,F,否,1,1
麻疹,2009,8,新北市,新莊區,M,否,0,2
麻疹,2009,8,新北市,新莊區,F,否,2,1
麻疹,2009,8,新北市,樹林區,M,否,0,1
麻疹,2009,8,桃園市,中壢區,M,否,0,1
麻疹,2009,8,桃園市,八德區,F,否,2,1
麻疹,2009,9,台中市,東區,F,否,2,1
麻疹,2009,9,台南市,永康區,F,否,0,1
麻疹,2009,9,台南市,永康區,M,否,0,1
麻疹,2009,9,台南市,永康區,M,否,25-29,1
麻疹,2009,9,新北市,林口區,M,否,30-34,1
麻疹,2009,9,苗栗縣,公館鄉,M,否,25-29,1
麻疹,2009,10,台中市,東區,F,是,4,1
麻疹,2009,10,台南市,安南區,F,否,35-39,1
麻疹,2009,10,新北市,新店區,M,是,0,1
麻疹,2009,10,新北市,新莊區,M,否,5-9,1
麻疹,2009,11,台南市,永康區,M,否,20-24,1
麻疹,2009,11,台南市,西港區,M,否,20-24,1
麻疹,2009,11,新北市,新莊區,F,否,5-9,1
麻疹,2009,12,新北市,新店區,M,否,1,1
麻疹,2009,13,南投縣,仁愛鄉,M,否,15-19,1
麻疹,2009,14,新北市,新莊區,M,否,3,1
麻疹,2009,15,台中市,烏日區,M,是,1,1
麻疹,2009,15,台南市,安南區,M,否,20-24,1
麻疹,2009,15,高雄市,三民區,M,否,15-19,1
麻疹,2009,15,高雄市,小港區,M,否,20-24,1
麻疹,2009,15,高雄市,小港區,M,否,25-29,1
麻疹,2009,15,高雄市,旗山區,M,否,20-24,1
麻疹,2009,15,南投縣,仁愛鄉,M,否,20-24,1
麻疹,2009,16,高雄市,小港區,M,否,20-24,1
麻疹,2009,16,新北市,新莊區,M,否,20-24,1
麻疹,2009,16,桃園市,蘆竹區,M,是,20-24,1
麻疹,2009,17,高雄市,小港區,F,否,0,1
麻疹,2009,17,南投縣,南投市,M,否,35-39,1
麻疹,2009,19,南投縣,南投市,M,否,0,1
麻疹,2009,21,新北市,中和區,F,是,0,1
麻疹,2009,23,基隆市,中山區,M,否,30-34,1
麻疹,2009,32,屏東縣,內埔鄉,F,是,2,1
麻疹,2010,9,台北市,士林區,F,是,25-29,1
麻疹,2010,13,高雄市,大寮區,F,是,1,1
麻疹,2010,13,高雄市,大寮區,F,是,25-29,1
麻疹,2010,16,台中市,烏日區,F,是,5-9,1
麻疹,2010,17,台中市,烏日區,M,是,1,1
麻疹,2010,18,新竹縣,新豐鄉,M,是,35-39,1
麻疹,2010,21,台北市,松山區,M,否,30-34,1
麻疹,2010,23,台北市,信義區,M,否,0,1
麻疹,2010,23,台北市,內湖區,F,否,20-24,1
麻疹,2010,23,新北市,新店區,F,否,20-24,1
麻疹,2010,24,台北市,松山區,M,否,35-39,1
麻疹,2010,26,新北市,土城區,F,否,20-24,1
麻疹,2011,4,台北市,文山區,M,是,25-29,1
麻疹,2011,7,台北市,文山區,F,否,20-24,1
麻疹,2011,9,台北市,文山區,M,否,0,1
麻疹,2011,10,連江縣,東引鄉,M,否,20-24,1
麻疹,2011,11,台中市,潭子區,M,是,20-24,1
麻疹,2011,11,連江縣,東引鄉,M,否,20-24,1
麻疹,2011,12,連江縣,北竿鄉,M,否,20-24,1
麻疹,2011,12,連江縣,東引鄉,M,否,20-24,1
麻疹,2011,12,連江縣,東引鄉,M,否,25-29,1
麻疹,2011,13,連江縣,北竿鄉,M,否,20-24,3
麻疹,2011,13,連江縣,東引鄉,M,否,15-19,1
麻疹,2011,14,台中市,沙鹿區,M,否,20-24,1
麻疹,2011,14,新北市,新莊區,M,否,20-24,1
麻疹,2011,14,連江縣,北竿鄉,M,否,25-29,1
麻疹,2011,14,連江縣,南竿鄉,F,否,25-29,1
麻疹,2011,14,連江縣,東引鄉,M,否,20-24,1
麻疹,2011,15,台中市,北屯區,F,否,0,1
麻疹,2011,15,連江縣,北竿鄉,F,否,10-14,1
麻疹,2011,16,屏東縣,長治鄉,F,否,25-29,1
麻疹,2011,17,雲林縣,大埤鄉,M,否,25-29,1
麻疹,2011,17,連江縣,北竿鄉,M,否,20-24,2
麻疹,2011,18,連江縣,北竿鄉,M,否,20-24,1
麻疹,2011,19,雲林縣,林內鄉,M,否,20-24,1
麻疹,2011,19,連江縣,南竿鄉,M,否,20-24,1
麻疹,2011,20,桃園市,龜山區,M,否,5-9,1
麻疹,2011,22,新北市,八里區,F,否,1,1
麻疹,2011,24,台北市,大安區,F,是,25-29,1
麻疹,2011,24,新北市,蘆洲區,F,是,25-29,1
麻疹,2011,24,桃園市,中壢區,F,否,0,1
麻疹,2011,24,桃園市,中壢區,M,否,0,1
麻疹,2012,8,台北市,士林區,M,是,20-24,1
麻疹,2012,10,桃園市,桃園區,M,是,25-29,1
麻疹,2012,12,台南市,關廟區,F,是,20-24,1
麻疹,2012,14,台北市,南港區,M,是,1,1
麻疹,2012,16,基隆市,中正區,M,是,20-24,1
麻疹,2012,21,台北市,信義區,M,否,25-29,1
麻疹,2012,22,台中市,北屯區,M,否,25-29,1
麻疹,2012,24,新北市,汐止區,F,否,25-29,1
麻疹,2012,35,新北市,板橋區,M,否,20-24,1
麻疹,2013,5,高雄市,仁武區,M,是,0,1
麻疹,2013,5,高雄市,楠梓區,F,是,0,1
麻疹,2013,15,新北市,板橋區,F,是,35-39,1
麻疹,2013,16,桃園市,大園區,F,是,0,1
麻疹,2013,29,台北市,北投區,F,否,25-29,1
麻疹,2013,31,台北市,北投區,M,否,25-29,1
麻疹,2013,32,台中市,北屯區,M,是,35-39,1
麻疹,2013,32,新北市,永和區,M,是,40-44,1
麻疹,2014,2,高雄市,大寮區,M,是,25-29,1
麻疹,2014,5,高雄市,三民區,F,是,0,1
麻疹,2014,5,新竹市,北區,F,是,0,1
麻疹,2014,6,高雄市,三民區,F,是,0,1
麻疹,2014,11,台北市,松山區,M,是,0,1
麻疹,2014,11,花蓮縣,新城鄉,F,是,1,1
麻疹,2014,14,台北市,文山區,M,是,35-39,1
麻疹,2014,14,新北市,新店區,M,是,25-29,1
麻疹,2014,15,台中市,北屯區,M,是,20-24,1
麻疹,2014,17,台中市,北屯區,F,否,20-24,2
麻疹,2014,18,屏東縣,萬丹鄉,F,是,1,1
麻疹,2014,21,台北市,信義區,F,是,45-49,1
麻疹,2014,21,台北市,南港區,M,是,35-39,1
麻疹,2014,21,台北市,松山區,M,是,40-44,1
麻疹,2014,23,台北市,信義區,F,否,20-24,1
麻疹,2014,24,桃園市,桃園區,M,是,25-29,1
麻疹,2014,33,桃園市,中壢區,M,是,2,1
麻疹,2014,35,台中市,西區,M,是,20-24,1
麻疹,2014,36,桃園市,龜山區,M,是,1,1
麻疹,2014,41,南投縣,仁愛鄉,M,否,20-24,1
麻疹,2014,43,台北市,南港區,M,是,0,1
麻疹,2014,43,南投縣,仁愛鄉,F,否,25-29,1
麻疹,2014,43,南投縣,埔里鎮,M,否,20-24,1
麻疹,2014,43,南投縣,埔里鎮,F,否,25-29,1
麻疹,2014,44,南投縣,埔里鎮,M,否,1,1
麻疹,2015,9,屏東縣,屏東市,M,是,30-34,1
麻疹,2015,16,新北市,蘆洲區,F,否,40-44,1
麻疹,2015,18,台北市,北投區,F,否,25-29,1
麻疹,2015,18,台北市,南港區,F,否,20-24,1
麻疹,2015,18,新北市,樹林區,F,否,25-29,1
麻疹,2015,19,台北市,內湖區,F,否,20-24,1
麻疹,2015,19,台北市,內湖區,M,否,25-29,1
麻疹,2015,19,台北市,南港區,M,否,25-29,1
麻疹,2015,19,新北市,三重區,M,否,25-29,1
麻疹,2015,20,台北市,中山區,M,否,20-24,1
麻疹,2015,20,台北市,中正區,M,否,30-34,1
麻疹,2015,20,台北市,內湖區,M,否,25-29,1
麻疹,2015,20,台中市,豐原區,M,否,0,1
麻疹,2015,20,新北市,淡水區,F,否,25-29,1
麻疹,2015,21,台北市,中山區,F,否,20-24,1
麻疹,2015,21,台北市,內湖區,F,否,25-29,2
麻疹,2015,21,台北市,北投區,M,否,30-34,1
麻疹,2015,21,新北市,三重區,F,否,25-29,1
麻疹,2015,21,新北市,三重區,M,否,30-34,1
麻疹,2015,21,桃園市,中壢區,M,否,20-24,1
麻疹,2015,22,台北市,中山區,F,否,25-29,1
麻疹,2015,22,嘉義市,東區,M,是,1,1
麻疹,2015,22,新竹縣,芎林鄉,M,是,40-44,1
麻疹,2015,24,台中市,太平區,F,否,15-19,1
麻疹,2015,27,台北市,文山區,F,是,35-39,1
麻疹,2015,27,新北市,中和區,F,是,25-29,1
麻疹,2015,36,台南市,新營區,F,是,40-44,1
麻疹,2015,40,台南市,新營區,M,否,15-19,1
麻疹,2016,10,台北市,松山區,F,是,45-49,1
麻疹,2016,14,屏東縣,長治鄉,F,是,0,1
麻疹,2016,17,新北市,淡水區,F,否,20-24,1
麻疹,2016,18,新北市,新店區,F,是,35-39,1
麻疹,2016,19,台北市,大同區,F,否,25-29,1
麻疹,2016,26,台南市,安定區,M,是,1,1
麻疹,2016,30,台北市,南港區,F,否,25-29,1
麻疹,2016,30,新北市,八里區,M,否,40-44,1
麻疹,2016,31,台北市,大安區,F,否,25-29,1
麻疹,2016,31,新竹市,香山區,M,是,5-9,1
麻疹,2016,31,金門縣,金湖鎮,M,是,55-59,1
麻疹,2016,32,台北市,士林區,F,是,25-29,1
麻疹,2016,33,新竹市,北區,M,否,0,1
麻疹,2016,50,桃園市,蘆竹區,M,是,30-34,1
麻疹,2017,8,桃園市,桃園區,F,是,1,1
麻疹,2017,10,台北市,松山區,F,是,0,1
麻疹,2017,12,新竹市,東區,M,是,25-29,1
麻疹,2017,14,新北市,新莊區,F,是,45-49,1
麻疹,2017,14,桃園市,蘆竹區,F,是,25-29,1
麻疹,2017,52,台北市,北投區,M,否,45-49,1
麻疹,2018,11,新北市,汐止區,M,是,30-34,1
麻疹,2018,12,台北市,北投區,M,否,30-34,1
麻疹,2018,12,桃園市,八德區,M,否,30-34,1
麻疹,2018,13,台北市,信義區,M,否,25-29,1
麻疹,2018,13,新竹市,東區,M,是,0,1
麻疹,2018,13,桃園市,龜山區,F,否,40-44,1
麻疹,2018,13,南投縣,國姓鄉,M,否,30-34,1
麻疹,2018,14,台北市,信義區,F,否,25-29,1
麻疹,2018,14,高雄市,鼓山區,M,否,25-29,1
麻疹,2018,14,新北市,三重區,M,否,45-49,1
麻疹,2018,14,桃園市,蘆竹區,M,否,35-39,1
麻疹,2018,15,台北市,內湖區,M,否,25-29,1
麻疹,2018,15,新北市,三峽區,F,否,25-29,1
麻疹,2018,15,新北市,三重區,F,否,40-44,1
麻疹,2018,15,新北市,新店區,F,否,25-29,1
麻疹,2018,15,新北市,新店區,M,否,35-39,1
麻疹,2018,15,桃園市,大園區,F,否,25-29,1
麻疹,2018,15,桃園市,桃園區,F,否,35-39,1
麻疹,2018,15,桃園市,蘆竹區,M,否,25-29,1
麻疹,2018,15,桃園市,蘆竹區,F,否,30-34,1
麻疹,2018,16,高雄市,三民區,M,否,20-24,1
麻疹,2018,16,桃園市,龍潭區,F,否,45-49,1
麻疹,2018,16,桃園市,龜山區,M,否,20-24,1
麻疹,2018,17,桃園市,龜山區,M,否,20-24,1
麻疹,2018,20,台北市,中山區,M,是,30-34,1
麻疹,2018,20,台北市,萬華區,F,是,30-34,1
麻疹,2018,24,台北市,大安區,M,是,30-34,1
麻疹,2018,24,桃園市,桃園區,F,是,30-34,1
麻疹,2018,24,新竹縣,芎林鄉,F,是,5-9,1
麻疹,2018,28,新竹縣,芎林鄉,F,否,25-29,1
麻疹,2018,32,南投縣,南投市,M,是,40-44,1
麻疹,2018,34,新北市,板橋區,M,否,30-34,1
麻疹,2018,34,南投縣,南投市,F,否,35-39,1
麻疹,2018,35,新北市,樹林區,M,是,30-34,1
麻疹,2018,40,新北市,土城區,F,否,45-49,1
麻疹,2018,49,新北市,新店區,M,否,25-29,1
麻疹,2018,50,台北市,內湖區,M,是,0,1
麻疹,2018,50,新北市,永和區,M,是,35-39,1
麻疹,2018,52,台北市,內湖區,F,否,30-34,1
麻疹,2018,52,台中市,北區,M,是,35-39,1
麻疹,2019,2,台中市,東勢區,F,否,50-54,1
麻疹,2019,2,新竹市,東區,M,是,30-34,1
麻疹,2019,2,新北市,板橋區,M,是,30-34,1
麻疹,2019,2,桃園市,大園區,F,是,30-34,1
麻疹,2019,3,高雄市,新興區,F,是,25-29,1
麻疹,2019,3,彰化縣,田尾鄉,F,是,20-24,1
麻疹,2019,4,新竹市,東區,F,否,35-39,1
麻疹,2019,4,新北市,新店區,M,是,35-39,1
麻疹,2019,5,台北市,士林區,M,是,35-39,1
麻疹,2019,5,新竹市,香山區,F,是,5-9,1
麻疹,2019,5,新北市,板橋區,F,否,20-24,1
麻疹,2019,5,新北市,板橋區,M,是,30-34,1
麻疹,2019,7,台北市,中正區,M,否,30-34,1
麻疹,2019,7,台北市,士林區,F,否,25-29,1
麻疹,2019,7,台北市,士林區,F,否,35-39,1
麻疹,2019,7,台中市,西屯區,F,是,3,1
麻疹,2019,7,新北市,三重區,M,否,0,1
麻疹,2019,7,新北市,永和區,F,否,35-39,1
麻疹,2019,7,新北市,蘆洲區,F,否,30-34,1
麻疹,2019,7,新北市,蘆洲區,M,否,35-39,1
麻疹,2019,8,台北市,士林區,M,否,35-39,1
麻疹,2019,8,台北市,大同區,M,否,20-24,1
麻疹,2019,8,新北市,中和區,F,否,0,1
麻疹,2019,8,桃園市,桃園區,F,否,20-24,1
麻疹,2019,8,桃園市,桃園區,F,是,5-9,1
麻疹,2019,8,彰化縣,彰化市,M,是,5-9,1
麻疹,2019,9,台北市,中山區,M,是,0,1
麻疹,2019,10,台北市,萬華區,M,是,30-34,1
麻疹,2019,10,台南市,安南區,F,是,25-29,1
麻疹,2019,10,新竹市,東區,M,否,35-39,1
麻疹,2019,10,新北市,深坑區,F,否,25-29,1
麻疹,2019,10,桃園市,龜山區,M,否,20-24,1
麻疹,2019,11,台北市,中山區,M,否,35-39,1
麻疹,2019,11,台南市,安南區,M,否,0,1
麻疹,2019,11,新北市,鶯歌區,M,否,15-19,1
麻疹,2019,12,台中市,大肚區,F,否,40-44,1
麻疹,2019,12,台南市,東區,F,是,30-34,1
麻疹,2019,12,桃園市,新屋區,M,是,25-29,1
麻疹,2019,12,南投縣,南投市,F,是,15-19,1
麻疹,2019,13,台中市,太平區,F,否,25-29,1
麻疹,2019,13,台南市,柳營區,M,是,40-44,1
麻疹,2019,13,新北市,林口區,M,是,25-29,1
麻疹,2019,13,新北市,淡水區,F,是,20-24,1
麻疹,2019,13,桃園市,中壢區,M,是,30-34,1
麻疹,2019,13,新竹縣,新豐鄉,F,是,20-24,1
麻疹,2019,13,新竹縣,新豐鄉,M,是,20-24,1
麻疹,2019,14,台中市,南屯區,F,否,20-24,1
麻疹,2019,14,台中市,西區,M,否,25-29,1
麻疹,2019,14,台中市,西屯區,F,否,20-24,1
麻疹,2019,14,台中市,西屯區,M,否,25-29,1
麻疹,2019,14,台中市,龍井區,F,否,20-24,1
麻疹,2019,14,台中市,龍井區,F,否,25-29,1
麻疹,2019,14,台中市,龍井區,M,否,25-29,1
麻疹,2019,14,新北市,汐止區,M,否,0,1
麻疹,2019,14,新北市,汐止區,F,否,1,1
麻疹,2019,14,新北市,鶯歌區,M,是,25-29,1
麻疹,2019,14,桃園市,八德區,M,是,30-34,1
麻疹,2019,14,桃園市,桃園區,M,是,20-24,1
麻疹,2019,14,桃園市,桃園區,F,是,40-44,1
麻疹,2019,14,彰化縣,鹿港鎮,F,否,1,1
麻疹,2019,14,彰化縣,鹿港鎮,M,否,30-34,1
麻疹,2019,15,台北市,大同區,M,否,25-29,1
麻疹,2019,15,新竹市,東區,M,否,25-29,1
麻疹,2019,15,新北市,八里區,M,否,25-29,1
麻疹,2019,15,新北市,新莊區,F,否,25-29,1
麻疹,2019,15,新北市,林口區,M,否,30-34,1
麻疹,2019,15,新北市,永和區,M,否,20-24,1
麻疹,2019,15,新北市,泰山區,M,否,30-34,1
麻疹,2019,15,新北市,鶯歌區,F,否,15-19,1
麻疹,2019,15,桃園市,桃園區,F,否,10-14,1
麻疹,2019,15,桃園市,龜山區,F,否,20-24,1
麻疹,2019,15,桃園市,龜山區,M,否,25-29,1
麻疹,2019,15,桃園市,龜山區,M,否,30-34,1
麻疹,2019,15,雲林縣,斗六市,M,否,25-29,1
麻疹,2019,16,基隆市,中正區,M,否,25-29,1
麻疹,2019,16,新北市,三重區,M,否,30-34,1
麻疹,2019,16,新北市,八里區,F,否,25-29,1
麻疹,2019,16,新北市,板橋區,F,是,40-44,1
麻疹,2019,16,桃園市,大園區,M,否,30-34,1
麻疹,2019,16,桃園市,桃園區,F,否,30-34,1
麻疹,2019,17,台北市,萬華區,M,否,20-24,1
麻疹,2019,17,台北市,萬華區,F,否,25-29,1
麻疹,2019,17,新北市,新店區,M,是,30-34,1
麻疹,2019,17,桃園市,蘆竹區,F,否,30-34,1
麻疹,2019,18,台北市,中正區,F,否,35-39,1
麻疹,2019,18,台北市,內湖區,F,否,30-34,1
麻疹,2019,18,新北市,新店區,M,否,20-24,1
麻疹,2019,18,新北市,板橋區,F,否,0,1
麻疹,2019,18,新北市,板橋區,M,否,35-39,1
麻疹,2019,18,新北市,板橋區,M,否,45-49,1
麻疹,2019,18,新北市,永和區,M,否,30-34,1
麻疹,2019,18,新北市,汐止區,F,否,30-34,1
麻疹,2019,19,台北市,松山區,M,是,25-29,1
麻疹,2019,20,台北市,萬華區,M,否,25-29,1
麻疹,2019,21,台北市,大同區,F,否,0,1
