確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0830,2003,11,高雄市,那瑪夏區,F,0,55~59,1,64000,64000380
0830,2003,15,台南市,關廟區,M,0,35~39,1,67000,67000290
0830,2003,48,高雄市,小港區,F,1,55~59,1,64000,64000110
0830,2003,48,台南市,善化區,F,0,65~69,1,67000,67000190
0830,2003,49,高雄市,岡山區,M,0,40~44,1,64000,64000190
0830,2003,50,高雄市,三民區,F,0,20~24,1,64000,64000050
0830,2003,51,彰化縣,二林鎮,M,0,25~29,1,10007,10007200
0830,2003,52,屏東縣,竹田鄉,F,0,60~64,1,10013,10013140
0830,2004,1,高雄市,左營區,M,0,30~34,1,64000,64000030
0830,2004,1,高雄市,楠梓區,M,0,45~49,1,64000,64000040
0830,2004,4,苗栗縣,後龍鎮,M,0,50~54,1,10005,10005060
0830,2004,5,花蓮縣,花蓮市,F,0,20~24,1,10015,10015010
0830,2004,5,高雄市,林園區,M,0,35~39,1,64000,64000130
0830,2004,5,台南市,官田區,M,0,55~59,1,67000,67000100
0830,2004,6,屏東縣,高樹鄉,M,0,50~54,1,10013,10013110
0830,2004,7,台南市,鹽水區,M,0,60~64,1,67000,67000020
0830,2004,12,彰化縣,彰化市,M,0,50~54,1,10007,10007010
0830,2004,12,高雄市,楠梓區,F,0,50~54,1,64000,64000040
0830,2004,13,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
0830,2004,14,彰化縣,二林鎮,M,0,45~49,1,10007,10007200
0830,2004,14,彰化縣,福興鄉,M,0,70+,1,10007,10007060
0830,2004,14,高雄市,大樹區,M,0,55~59,1,64000,64000150
0830,2004,14,高雄市,路竹區,M,0,40~44,1,64000,64000240
0830,2004,15,彰化縣,二林鎮,M,0,50~54,1,10007,10007200
0830,2004,15,高雄市,鳳山區,M,0,45~49,1,64000,64000120
0830,2004,16,彰化縣,溪湖鎮,M,1,40~44,1,10007,10007110
0830,2004,16,彰化縣,花壇鄉,M,0,30~34,1,10007,10007080
0830,2004,16,高雄市,橋頭區,M,0,40~44,1,64000,64000200
0830,2004,16,高雄市,燕巢區,M,0,50~54,1,64000,64000210
0830,2004,16,高雄市,鼓山區,M,0,20~24,1,64000,64000020
0830,2004,17,彰化縣,福興鄉,M,0,65~69,1,10007,10007060
0830,2004,17,屏東縣,內埔鄉,M,0,40~44,1,10013,10013130
0830,2004,17,高雄市,岡山區,M,0,35~39,1,64000,64000190
0830,2004,17,高雄市,鳳山區,M,0,35~39,1,64000,64000120
0830,2004,18,彰化縣,埤頭鄉,M,0,50~54,1,10007,10007220
0830,2004,19,彰化縣,和美鎮,M,0,30~34,1,10007,10007030
0830,2004,19,屏東縣,恆春鎮,M,0,65~69,1,10013,10013040
0830,2004,20,彰化縣,溪湖鎮,M,0,40~44,1,10007,10007110
0830,2004,20,彰化縣,社頭鄉,M,0,40~44,1,10007,10007170
0830,2004,20,花蓮縣,瑞穗鄉,M,0,60~64,1,10015,10015090
0830,2004,20,高雄市,三民區,M,0,30~34,1,64000,64000050
0830,2004,20,高雄市,橋頭區,M,0,60~64,1,64000,64000200
0830,2004,20,高雄市,燕巢區,F,0,55~59,1,64000,64000210
0830,2004,20,台中市,豐原區,M,1,60~64,1,66000,66000090
0830,2004,21,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0830,2004,21,台南市,佳里區,M,0,30~34,1,67000,67000120
0830,2004,21,台南市,安南區,M,0,70+,1,67000,67000350
0830,2004,22,屏東縣,東港鎮,M,0,20~24,1,10013,10013030
0830,2004,22,高雄市,大社區,M,0,35~39,1,64000,64000160
0830,2004,22,高雄市,楠梓區,F,0,60~64,1,64000,64000040
0830,2004,22,高雄市,鳳山區,M,0,50~54,1,64000,64000120
0830,2004,24,屏東縣,里港鄉,M,0,65~69,1,10013,10013090
0830,2004,24,台南市,關廟區,M,0,40~44,1,67000,67000290
0830,2004,25,高雄市,林園區,M,0,55~59,1,64000,64000130
0830,2004,25,高雄市,楠梓區,M,0,40~44,1,64000,64000040
0830,2004,25,高雄市,橋頭區,M,0,50~54,1,64000,64000200
0830,2004,26,彰化縣,鹿港鎮,M,0,40~44,1,10007,10007020
0830,2004,26,高雄市,旗山區,F,0,55~59,1,64000,64000300
0830,2004,26,高雄市,楠梓區,M,0,40~44,1,64000,64000040
0830,2004,26,高雄市,橋頭區,M,0,25~29,1,64000,64000200
0830,2004,26,高雄市,苓雅區,M,0,35~39,1,64000,64000080
0830,2004,26,台南市,南區,M,0,70+,1,67000,67000330
0830,2004,27,雲林縣,台西鄉,M,0,40~44,1,10009,10009160
0830,2004,27,嘉義市,東區,M,0,50~54,1,10020,10020010
0830,2004,27,高雄市,小港區,M,0,20~24,1,64000,64000110
0830,2004,28,屏東縣,高樹鄉,M,0,30~34,1,10013,10013110
0830,2004,29,屏東縣,萬丹鄉,M,0,25~29,2,10013,10013050
0830,2004,29,高雄市,三民區,M,0,60~64,1,64000,64000050
0830,2004,29,高雄市,內門區,F,0,25~29,1,64000,64000350
0830,2004,29,高雄市,楠梓區,M,0,45~49,1,64000,64000040
0830,2004,30,彰化縣,田尾鄉,M,0,40~44,1,10007,10007210
0830,2004,30,南投縣,竹山鎮,M,0,50~54,1,10008,10008040
0830,2004,30,台南市,南區,M,0,40~44,1,67000,67000330
0830,2004,32,高雄市,橋頭區,M,0,30~34,1,64000,64000200
0830,2004,32,台南市,新市區,M,0,70+,1,67000,67000200
0830,2004,33,屏東縣,內埔鄉,M,0,35~39,1,10013,10013130
0830,2004,33,高雄市,楠梓區,M,0,35~39,1,64000,64000040
0830,2004,34,高雄市,燕巢區,M,0,45~49,1,64000,64000210
0830,2004,34,台南市,東區,M,0,65~69,1,67000,67000320
0830,2004,35,彰化縣,埔心鄉,M,0,50~54,1,10007,10007150
0830,2004,35,高雄市,燕巢區,M,0,55~59,1,64000,64000210
0830,2004,35,高雄市,路竹區,M,0,50~54,1,64000,64000240
0830,2004,36,彰化縣,埔心鄉,F,0,50~54,1,10007,10007150
0830,2004,36,屏東縣,長治鄉,M,0,60~64,1,10013,10013060
0830,2004,36,高雄市,鼓山區,M,0,60~64,1,64000,64000020
0830,2004,37,屏東縣,獅子鄉,M,0,50~54,1,10013,10013320
0830,2004,37,台中市(舊),南區,F,0,30~34,1,10019,10019030
0830,2004,37,高雄市,楠梓區,M,0,70+,1,64000,64000040
0830,2004,37,高雄市,燕巢區,M,0,15~19,1,64000,64000210
0830,2004,37,台南市,東區,M,0,45~49,1,67000,67000320
0830,2004,38,彰化縣,芳苑鄉,M,0,45~49,1,10007,10007230
0830,2004,39,屏東縣,屏東市,M,0,45~49,1,10013,10013010
0830,2004,39,台南市,龍崎區,M,0,45~49,1,67000,67000300
0830,2004,42,高雄市,左營區,M,0,25~29,1,64000,64000030
0830,2004,43,屏東縣,屏東市,M,0,65~69,1,10013,10013010
0830,2004,44,屏東縣,竹田鄉,M,0,70+,1,10013,10013140
0830,2004,44,高雄市,楠梓區,F,0,55~59,1,64000,64000040
0830,2004,44,台中市,大肚區,M,0,45~49,1,66000,66000240
0830,2004,47,高雄市,小港區,M,0,65~69,1,64000,64000110
0830,2004,47,高雄市,橋頭區,M,0,45~49,1,64000,64000200
0830,2004,48,屏東縣,恆春鎮,M,0,50~54,1,10013,10013040
0830,2004,48,高雄市,小港區,M,0,60~64,1,64000,64000110
0830,2004,48,高雄市,左營區,M,0,40~44,1,64000,64000030
0830,2004,51,高雄市,苓雅區,M,0,45~49,1,64000,64000080
0830,2004,51,高雄市,鳳山區,M,0,40~44,1,64000,64000120
0830,2004,53,高雄市,楠梓區,M,0,50~54,1,64000,64000040
0830,2005,1,彰化縣,鹿港鎮,M,0,25~29,1,10007,10007020
0830,2005,1,高雄市,鼓山區,M,0,50~54,1,64000,64000020
0830,2005,2,高雄市,田寮區,M,0,70+,1,64000,64000220
0830,2005,3,屏東縣,屏東市,M,0,30~34,1,10013,10013010
0830,2005,3,高雄市,楠梓區,M,0,55~59,1,64000,64000040
0830,2005,3,高雄市,美濃區,M,0,20~24,1,64000,64000310
0830,2005,3,台中市,清水區,M,0,50~54,1,66000,66000120
0830,2005,4,屏東縣,屏東市,M,0,60~64,1,10013,10013010
0830,2005,4,高雄市,大社區,M,0,40~44,1,64000,64000160
0830,2005,4,高雄市,燕巢區,M,0,40~44,1,64000,64000210
0830,2005,5,彰化縣,竹塘鄉,M,0,55~59,1,10007,10007250
0830,2005,5,高雄市,三民區,M,0,45~49,1,64000,64000050
0830,2005,5,高雄市,美濃區,M,0,35~39,1,64000,64000310
0830,2005,5,高雄市,苓雅區,M,0,30~34,1,64000,64000080
0830,2005,7,高雄市,三民區,M,0,50~54,1,64000,64000050
0830,2005,8,台南市,佳里區,M,0,65~69,1,67000,67000120
0830,2005,8,台南市,安平區,M,0,65~69,1,67000,67000360
0830,2005,9,屏東縣,九如鄉,M,0,25~29,1,10013,10013080
0830,2005,9,屏東縣,長治鄉,M,0,30~34,1,10013,10013060
0830,2005,9,高雄市,林園區,M,0,35~39,1,64000,64000130
0830,2005,10,屏東縣,屏東市,M,0,55~59,1,10013,10013010
0830,2005,10,屏東縣,高樹鄉,M,0,60~64,1,10013,10013110
0830,2005,11,屏東縣,屏東市,M,0,30~34,1,10013,10013010
0830,2005,11,高雄市,小港區,M,0,25~29,1,64000,64000110
0830,2005,12,雲林縣,麥寮鄉,M,0,30~34,1,10009,10009130
0830,2005,12,屏東縣,屏東市,M,0,45~49,1,10013,10013010
0830,2005,12,高雄市,岡山區,M,0,30~34,1,64000,64000190
0830,2005,12,台南市,東區,M,0,30~34,1,67000,67000320
0830,2005,14,嘉義縣,六腳鄉,M,0,30~34,1,10010,10010080
0830,2005,15,彰化縣,彰化市,M,0,40~44,1,10007,10007010
0830,2005,15,新竹市,北區,M,0,45~49,1,10018,10018020
0830,2005,15,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0830,2005,16,雲林縣,二崙鄉,M,0,65~69,1,10009,10009110
0830,2005,16,屏東縣,屏東市,M,0,50~54,1,10013,10013010
0830,2005,16,屏東縣,萬巒鄉,M,0,45~49,1,10013,10013120
0830,2005,16,屏東縣,里港鄉,M,0,40~44,1,10013,10013090
0830,2005,17,雲林縣,斗六市,M,0,25~29,1,10009,10009010
0830,2005,17,屏東縣,屏東市,M,0,60~64,1,10013,10013010
0830,2005,18,高雄市,岡山區,M,0,50~54,1,64000,64000190
0830,2005,18,高雄市,林園區,M,0,55~59,1,64000,64000130
0830,2005,18,台中市,西屯區,M,0,30~34,1,66000,66000060
0830,2005,19,彰化縣,溪湖鎮,M,0,30~34,1,10007,10007110
0830,2005,19,彰化縣,花壇鄉,M,0,40~44,1,10007,10007080
0830,2005,19,屏東縣,屏東市,M,0,35~39,1,10013,10013010
0830,2005,19,屏東縣,潮州鎮,M,0,60~64,1,10013,10013020
0830,2005,19,高雄市,楠梓區,M,0,35~39,1,64000,64000040
0830,2005,19,高雄市,鳥松區,M,0,40~44,1,64000,64000180
0830,2005,20,彰化縣,北斗鎮,M,0,60~64,1,10007,10007190
0830,2005,20,高雄市,美濃區,M,0,50~54,1,64000,64000310
0830,2005,21,屏東縣,屏東市,M,0,50~54,1,10013,10013010
0830,2005,21,高雄市,旗津區,M,0,60~64,1,64000,64000100
0830,2005,21,新北市,土城區,M,0,50~54,1,65000,65000130
0830,2005,21,台中市,南屯區,F,0,45~49,1,66000,66000070
0830,2005,22,彰化縣,溪州鄉,M,0,25~29,1,10007,10007260
0830,2005,22,高雄市,橋頭區,M,0,40~44,1,64000,64000200
0830,2005,22,台中市,外埔區,M,0,45~49,1,66000,66000210
0830,2005,23,高雄市,楠梓區,M,0,45~49,1,64000,64000040
0830,2005,23,台南市,永康區,M,0,30~34,1,67000,67000310
0830,2005,25,高雄市,岡山區,M,0,35~39,1,64000,64000190
0830,2005,25,台南市,仁德區,M,0,35~39,1,67000,67000270
0830,2005,26,高雄市,楠梓區,M,0,30~34,1,64000,64000040
0830,2005,27,苗栗縣,造橋鄉,M,0,55~59,1,10005,10005150
0830,2005,27,雲林縣,土庫鎮,F,0,60~64,1,10009,10009050
0830,2005,27,屏東縣,屏東市,M,0,35~39,1,10013,10013010
0830,2005,27,高雄市,內門區,M,0,40~44,1,64000,64000350
0830,2005,28,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
0830,2005,28,屏東縣,長治鄉,M,0,45~49,1,10013,10013060
0830,2005,28,高雄市,小港區,M,0,35~39,1,64000,64000110
0830,2005,28,高雄市,楠梓區,F,0,45~49,1,64000,64000040
0830,2005,28,高雄市,湖內區,M,0,25~29,1,64000,64000250
0830,2005,28,高雄市,苓雅區,F,0,55~59,1,64000,64000080
0830,2005,29,雲林縣,褒忠鄉,M,0,65~69,1,10009,10009150
0830,2005,29,高雄市,內門區,F,0,70+,1,64000,64000350
0830,2005,30,高雄市,楠梓區,M,0,50~54,1,64000,64000040
0830,2005,31,屏東縣,屏東市,M,0,50~54,1,10013,10013010
0830,2005,31,屏東縣,鹽埔鄉,M,0,40~44,1,10013,10013100
0830,2005,31,高雄市,左營區,M,0,70+,1,64000,64000030
0830,2005,31,高雄市,鳳山區,M,0,55~59,1,64000,64000120
0830,2005,32,高雄市,左營區,M,0,35~39,1,64000,64000030
0830,2005,33,高雄市,大寮區,F,0,50~54,1,64000,64000140
0830,2005,35,雲林縣,崙背鄉,M,0,45~49,1,10009,10009120
0830,2005,35,屏東縣,里港鄉,M,0,40~44,1,10013,10013090
