確定病名,發病日,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19CoV,2020-01-27,彰化縣,彰化市,M,0,60~64,1,10007,10007010
19CoV,2020-02-05,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2020-02-18,桃園市,蘆竹區,F,0,55~59,1,68000,68000050
19CoV,2020-03-17,新北市,中和區,M,1,70+,1,65000,65000030
19CoV,2020-03-17,新竹市,東區,M,1,40~44,1,10018,10018010
19CoV,2020-03-19,台北市,士林區,M,1,45~49,1,63000,63000110
19CoV,2020-03-20,屏東縣,麟洛鄉,M,1,65~69,1,10013,10013070
19CoV,2020-12-24,台北市,大安區,M,1,65~69,1,63000,63000030
19CoV,2020-12-26,新北市,八里區,M,1,70+,1,65000,65000230
19CoV,2021-01-19,桃園市,八德區,M,0,65~69,1,68000,68000080
19CoV,2021-01-28,桃園市,桃園區,F,0,70+,1,68000,68000010
19CoV,2021-04-11,台北市,文山區,M,1,55~59,1,63000,63000081
19CoV,2021-04-11,台北市,文山區,M,1,55~59,1,63000,63000080
19CoV,2021-04-11,台北市,文山區,M,1,55~59,1,63000,63000082
19CoV,2021-04-19,新竹縣,竹北市,M,1,70+,1,10004,10004010
19CoV,2021-04-26,台北市,中正區,F,0,70+,1,63000,63000050
19CoV,2021-04-27,新北市,土城區,M,0,70+,1,65000,65000130
19CoV,2021-05-02,台北市,大同區,M,0,70+,1,63000,63000060
19CoV,2021-05-03,新北市,蘆洲區,F,0,60~64,1,65000,65000140
19CoV,2021-05-06,台北市,南港區,M,0,70+,1,63000,63000090
19CoV,2021-05-06,台北市,文山區,M,0,70+,1,63000,63000080
19CoV,2021-05-06,台北市,文山區,M,0,70+,1,63000,63000082
19CoV,2021-05-06,台北市,文山區,M,0,70+,1,63000,63000081
19CoV,2021-05-06,新北市,板橋區,M,0,70+,1,65000,65000010
19CoV,2021-05-07,新北市,三重區,F,0,60~64,1,65000,65000020
19CoV,2021-05-07,新北市,永和區,M,0,70+,1,65000,65000040
19CoV,2021-05-07,台北市,萬華區,M,0,55~59,1,63000,63000070
